,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.1,,0.0035003519151359797,0.001800564001314342,0.004374036565423012,0.0014382669469341636,0.0067200311459600925,0.003225306747481227,0.001437733881175518,0.0018902919255197048,0.002182783093303442,0.0030844053253531456,0.004065212793648243,0.005920669995248318,0.0043611787259578705,0.0017366810934618115,0.002924697007983923,0.001111667137593031,0.004481140989810228,0.005725692491978407,0.007576922886073589,0.002206480363383889,0.004613974131643772,0.005390435457229614,0.0032928637228906155,0.0039353263564407825,0.006994252558797598,0.0032718712463974953,0.000353682495187968,0.003488830989226699,0.00395733118057251,0.001788587775081396,0.003665899159386754,0.00046564327203668654,0.0005119891138747334,0.005233780015259981,0.0011111805215477943,0.001049513230100274,0.0042004697024822235,0.004888346418738365,0.004751699510961771,0.0006480764714069664,0.004316400270909071,0.004950397182255983,0.00751529261469841,0.0017866806592792273,0.0067033711820840836,0.007075986824929714,0.002236315282061696,0.003973345272243023,0.003279118100181222,0.0036569058429449797
1,0.2,,0.00419128593057394,0.0039736549369990826,0.0027860687114298344,0.004142203833907843,0.0035363836213946342,0.002185760298743844,0.002099098637700081,0.0045219785533845425,0.0022371842060238123,0.006440178025513887,0.0021584162022918463,0.00739439157769084,0.0037434599362313747,0.0022002721671015024,0.004465438425540924,0.005098636262118816,0.0038849860429763794,0.003241369966417551,0.0035956662613898516,0.0012080048909410834,0.0018528959481045604,0.001446592272259295,0.001031131949275732,0.004007445182651281,0.003331603016704321,0.0026245107874274254,0.0029028861317783594,0.004869389813393354,0.0031467198859900236,0.004173253662884235,0.0019034940050914884,0.00475173257291317,0.0008895476930774748,0.0027494714595377445,0.005488553084433079,0.0037266898434609175,0.00393777247518301,0.004458263516426086,0.003589609172195196,0.0062563782557845116,0.0035121063701808453,0.0013850312680006027,0.0012513947440311313,0.004283116199076176,0.0039884611032903194,0.003054975066334009,0.007731803227216005,0.004219927359372377,0.0065325163304805756,0.0035900718066841364
2,0.3,,0.002568013733252883,0.0029345497023314238,0.005765257868915796,0.0003638752968981862,0.003924459684640169,0.0008020999957807362,0.0011662172619253397,0.0043305023573338985,0.0006902188761159778,0.0023562987335026264,0.0031804812606424093,0.0044558122754096985,0.004906121175736189,0.0009851368376985192,0.008165761828422546,0.004438538104295731,0.002713118214160204,0.0062978495843708515,0.004981148988008499,0.0037918786983937025,0.004104906227439642,0.004019482526928186,0.006149604916572571,0.0025159157812595367,0.0017092141788452864,0.004810868296772242,0.0038777473382651806,0.002542455680668354,0.003280632896348834,0.0037188874557614326,0.0053472500294446945,0.00372131634503603,0.002728481777012348,0.002609565621241927,0.005162025336176157,0.004099169280380011,0.0039062355645000935,0.0014633687678724527,0.003598348703235388,0.00514992605894804,0.003925330936908722,0.0005653816624544561,0.0015418920665979385,0.0016725638415664434,0.0012025570031255484,0.002010190160945058,0.0020057358779013157,0.0012520889285951853,0.005865571554750204,0.00445997528731823
3,0.4,,0.08208779990673065,0.027658475562930107,0.06677491217851639,0.05991242080926895,0.05359916388988495,0.0928630381822586,0.14343608915805817,0.08144561201334,0.023312872275710106,0.12575124204158783,0.09017288684844971,0.07934269309043884,0.061469435691833496,0.09778439253568649,0.04242941364645958,0.04891830310225487,0.018996821716427803,0.05342400074005127,0.04395539313554764,0.09951598197221756,0.04716690257191658,0.04428834840655327,0.042384739965200424,0.09608319401741028,0.05669935792684555,0.03622592240571976,0.05774727836251259,0.02745499089360237,0.012177988886833191,0.028904525563120842,0.05167091265320778,0.044088371098041534,0.03181808069348335,0.09039785712957382,0.01466395240277052,0.045831192284822464,0.07369200885295868,0.05665699765086174,0.11240575462579727,0.03035469725728035,0.12025343626737595,0.13175995647907257,0.05269186198711395,0.032348114997148514,0.06564253568649292,0.06879639625549316,0.03701864928007126,0.11126520484685898,0.08628328144550323,0.08103685081005096
4,0.5,,0.04343724995851517,0.12279820442199707,0.05267064645886421,0.11339418590068817,0.09568426758050919,0.042290639132261276,0.10885445028543472,0.04496018588542938,0.11453225463628769,0.0975063368678093,0.06801565736532211,0.04738367721438408,0.16203168034553528,0.03201783448457718,0.17287135124206543,0.07587756216526031,0.10622671991586685,0.13543623685836792,0.10524892807006836,0.05156556889414787,0.029683386906981468,0.12743742763996124,0.10888295620679855,0.0642688199877739,0.06086842715740204,0.051558252424001694,0.013801783323287964,0.05711844563484192,0.09626330435276031,0.012173673138022423,0.03574642911553383,0.027764612808823586,0.0928746908903122,0.039309363812208176,0.11444351077079773,0.0378851518034935,0.10671409964561462,0.12354298681020737,0.08862745016813278,0.0474889762699604,0.07702427357435226,0.04331653192639351,0.07977940887212753,0.08201298862695694,0.05983506888151169,0.10747168213129044,0.08942312747240067,0.07719654589891434,0.056084368377923965,0.1284385323524475
5,0.6,,0.12450409680604935,0.03542739897966385,0.0641617402434349,0.13283072412014008,0.14600177109241486,0.06521255522966385,0.11016738414764404,0.018825646489858627,0.08923027664422989,0.0517517514526844,0.09202683717012405,0.07869986444711685,0.07285258919000626,0.08169788122177124,0.13688765466213226,0.03645465150475502,0.0702996626496315,0.10505614429712296,0.02617763541638851,0.12677474319934845,0.061715226620435715,0.15845507383346558,0.06094217300415039,0.0858321487903595,0.10977388173341751,0.06065007671713829,0.06947972625494003,0.08287649601697922,0.022568797692656517,0.060933925211429596,0.016705509275197983,0.1626642495393753,0.02578745409846306,0.11901422590017319,0.07110273838043213,0.1299695521593094,0.10979106277227402,0.03692640736699104,0.07241117209196091,0.05744095519185066,0.06987050175666809,0.11435107886791229,0.13704954087734222,0.14484664797782898,0.05585692450404167,0.01748502440750599,0.07006347924470901,0.08870040625333786,0.11160844564437866,0.13082624971866608
6,0.7,,0.07290583848953247,0.18802990019321442,0.15812815725803375,0.04079315438866615,0.14223477244377136,0.0922396332025528,0.11534205079078674,0.04740716144442558,0.035575684159994125,0.06351161003112793,0.0823996365070343,0.22140517830848694,0.17432765662670135,0.12534384429454803,0.04169224947690964,0.07901924848556519,0.10684854537248611,0.04993252456188202,0.06029553711414337,0.061921074986457825,0.09214254468679428,0.10768406838178635,0.0901629701256752,0.08578875660896301,0.11188758164644241,0.1484820395708084,0.050015419721603394,0.11860537528991699,0.13048355281352997,0.12895885109901428,0.15204989910125732,0.15548008680343628,0.14768217504024506,0.014700746163725853,0.05915330722928047,0.1088324636220932,0.14628981053829193,0.08054929971694946,0.11306583136320114,0.17410250008106232,0.0739552304148674,0.1432320922613144,0.1355370432138443,0.20028193295001984,0.10117741674184799,0.11367981135845184,0.10109735280275345,0.1056743860244751,0.18625806272029877,0.14253875613212585
7,0.8,,0.020953837782144547,0.1616355925798416,0.10454505681991577,0.21507124602794647,0.1907646209001541,0.14922656118869781,0.09077970683574677,0.05571442469954491,0.07353383302688599,0.07862401008605957,0.08142604678869247,0.14931990206241608,0.16731372475624084,0.12304718047380447,0.08478549867868423,0.0739767923951149,0.08662960678339005,0.14792153239250183,0.20512786507606506,0.08038681000471115,0.031542420387268066,0.03155709430575371,0.10282624512910843,0.12289708107709885,0.11615230143070221,0.11147385835647583,0.030758243054151535,0.01275084912776947,0.09420444816350937,0.20503705739974976,0.12265656888484955,0.1789972335100174,0.12338349968194962,0.10605461895465851,0.08681295067071915,0.1257149875164032,0.07681602239608765,0.06273559480905533,0.13548722863197327,0.14882820844650269,0.17897947132587433,0.2105226218700409,0.09663283079862595,0.10638434439897537,0.1329287886619568,0.22926519811153412,0.06990502774715424,0.08495233207941055,0.19779425859451294,0.14944498240947723
8,0.9,,0.12321002781391144,0.1239338219165802,0.20738503336906433,0.14867961406707764,0.06916464120149612,0.07819768786430359,0.1811704933643341,0.14929655194282532,0.12845410406589508,0.18651360273361206,0.2453547567129135,0.17509834468364716,0.23784150183200836,0.14053276181221008,0.03733942285180092,0.23622073233127594,0.22043591737747192,0.1290866881608963,0.11746277660131454,0.23823921382427216,0.1906488984823227,0.10990763455629349,0.12775632739067078,0.17951469123363495,0.1838521659374237,0.16968372464179993,0.2011098861694336,0.18483971059322357,0.11682842671871185,0.10676134377717972,0.15655189752578735,0.2412654310464859,0.10778927057981491,0.12181113660335541,0.17578595876693726,0.16942264139652252,0.17208021879196167,0.13491582870483398,0.1443677544593811,0.04709537327289581,0.16343463957309723,0.09676491469144821,0.17546576261520386,0.12500599026679993,0.1516711562871933,0.12994599342346191,0.12560617923736572,0.08973066508769989,0.06169892102479935,0.15183979272842407
9,1.0,,0.24044741690158844,0.2638675570487976,0.2160326987504959,0.16732388734817505,0.19772085547447205,0.17847754061222076,0.08518697321414948,0.1733858734369278,0.21697773039340973,0.21617868542671204,0.23158177733421326,0.19358985126018524,0.22294330596923828,0.0805169865489006,0.2812930643558502,0.19515995681285858,0.20202137529850006,0.19827479124069214,0.28590598702430725,0.20737417042255402,0.23655390739440918,0.09314711391925812,0.21090932190418243,0.1716451495885849,0.1936430037021637,0.1596001535654068,0.14034390449523926,0.23603874444961548,0.15184888243675232,0.055229902267456055,0.22583545744419098,0.2334558069705963,0.2773168087005615,0.24787098169326782,0.24627342820167542,0.08693792670965195,0.0349295400083065,0.25265949964523315,0.1042245402932167,0.1283993124961853,0.2575325667858124,0.09802525490522385,0.17593233287334442,0.10999266058206558,0.2138313353061676,0.1579885333776474,0.22848853468894958,0.2120801955461502,0.08569549024105072,0.0043937130831182
