,oversampling_ratio,step_size,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat0,repeat1,repeat2,repeat3,repeat4
0,1.0,,,,,,,0.2624716,0.18191105,0.20137107,0.1424741,0.09093004
1,1.1,,,,,,,0.21546218,0.19362791,0.12984808,0.22439702,0.31785816
