CMDLINE python demo_DEQ.py
MEM 0.664062 1727969326.4319
MEM 66.144531 1727969326.5322
MEM 195.062500 1727969326.6328
MEM 216.492188 1727969326.7331
MEM 261.101562 1727969326.8336
MEM 285.007812 1727969326.9339
MEM 300.707031 1727969327.0341
MEM 311.191406 1727969327.1344
MEM 319.371094 1727969327.2346
MEM 325.042969 1727969327.3349
MEM 334.066406 1727969327.4352
MEM 341.988281 1727969327.5354
MEM 353.398438 1727969327.6357
MEM 360.269531 1727969327.7360
MEM 364.652344 1727969327.8363
MEM 374.792969 1727969327.9366
MEM 390.179688 1727969328.0368
MEM 396.566406 1727969328.1371
MEM 405.410156 1727969328.2374
MEM 418.511719 1727969328.3379
MEM 418.511719 1727969328.4388
MEM 418.511719 1727969328.5396
MEM 418.511719 1727969328.6405
MEM 418.511719 1727969328.7412
MEM 418.511719 1727969328.8421
MEM 418.511719 1727969328.9430
MEM 418.511719 1727969329.0439
MEM 418.511719 1727969329.1448
MEM 418.511719 1727969329.2454
MEM 418.511719 1727969329.3462
MEM 418.511719 1727969329.4468
MEM 418.511719 1727969329.5471
MEM 418.511719 1727969329.6474
MEM 418.511719 1727969329.7476
MEM 418.859375 1727969329.8479
MEM 425.292969 1727969329.9481
MEM 431.144531 1727969330.0484
MEM 440.238281 1727969330.1487
MEM 443.332031 1727969330.2490
MEM 449.449219 1727969330.3492
MEM 464.062500 1727969330.4495
MEM 481.148438 1727969330.5497
MEM 487.738281 1727969330.6502
MEM 494.304688 1727969330.7505
MEM 510.777344 1727969330.8507
MEM 520.535156 1727969330.9510
MEM 523.335938 1727969331.0513
MEM 527.429688 1727969331.1515
MEM 539.289062 1727969331.2518
MEM 547.332031 1727969331.3521
MEM 552.980469 1727969331.4523
MEM 582.890625 1727969331.5526
MEM 584.601562 1727969331.6529
MEM 592.859375 1727969331.7532
MEM 641.828125 1727969331.8535
MEM 664.332031 1727969331.9538
MEM 677.976562 1727969332.0540
MEM 687.417969 1727969332.1543
MEM 697.277344 1727969332.2546
MEM 724.941406 1727969332.3549
MEM 733.261719 1727969332.4551
MEM 736.355469 1727969332.5555
MEM 893.445312 1727969332.6558
MEM 901.679688 1727969332.7561
MEM 906.960938 1727969332.8563
MEM 906.996094 1727969332.9566
MEM 907.031250 1727969333.0569
MEM 907.320312 1727969333.1571
MEM 907.347656 1727969333.2574
MEM 907.492188 1727969333.3576
MEM 907.644531 1727969333.4580
MEM 908.019531 1727969333.5583
MEM 969.089844 1727969333.6586
MEM 1049.281250 1727969333.7589
MEM 1049.281250 1727969333.8591
