CMDLINE python demo_DEQ.py
MEM 0.773438 1727969971.6098
MEM 46.824219 1727969971.7102
MEM 176.007812 1727969971.8105
MEM 196.605469 1727969971.9109
MEM 208.730469 1727969972.0112
MEM 224.867188 1727969972.1115
MEM 260.957031 1727969972.2119
MEM 274.625000 1727969972.3122
MEM 294.550781 1727969972.4125
MEM 302.492188 1727969972.5128
MEM 310.914062 1727969972.6132
MEM 315.355469 1727969972.7135
MEM 322.191406 1727969972.8138
MEM 325.027344 1727969972.9141
MEM 330.441406 1727969973.0145
MEM 336.089844 1727969973.1148
MEM 342.585938 1727969973.2151
MEM 350.667969 1727969973.3154
MEM 355.230469 1727969973.4157
MEM 360.609375 1727969973.5161
MEM 364.371094 1727969973.6164
MEM 373.250000 1727969973.7167
MEM 378.714844 1727969973.8170
MEM 390.027344 1727969973.9173
MEM 393.730469 1727969974.0177
MEM 401.285156 1727969974.1180
MEM 405.843750 1727969974.2184
MEM 419.855469 1727969974.3187
MEM 422.742188 1727969974.4190
MEM 423.558594 1727969974.5193
MEM 430.214844 1727969974.6197
MEM 439.812500 1727969974.7200
MEM 440.410156 1727969974.8204
MEM 445.175781 1727969974.9207
MEM 449.406250 1727969975.0210
MEM 462.621094 1727969975.1213
MEM 467.226562 1727969975.2217
MEM 476.742188 1727969975.3220
MEM 483.660156 1727969975.4223
MEM 491.492188 1727969975.5227
MEM 494.136719 1727969975.6230
MEM 510.066406 1727969975.7233
MEM 515.742188 1727969975.8236
MEM 520.871094 1727969975.9240
MEM 522.652344 1727969976.0243
MEM 526.199219 1727969976.1246
MEM 531.410156 1727969976.2249
MEM 539.058594 1727969976.3252
MEM 546.285156 1727969976.4255
MEM 548.089844 1727969976.5259
MEM 552.839844 1727969976.6262
MEM 579.445312 1727969976.7266
MEM 583.933594 1727969976.8269
MEM 584.648438 1727969976.9273
MEM 605.707031 1727969977.0276
MEM 613.699219 1727969977.1279
MEM 652.480469 1727969977.2283
MEM 664.742188 1727969977.3286
MEM 675.175781 1727969977.4289
MEM 682.804688 1727969977.5292
MEM 688.273438 1727969977.6295
MEM 695.957031 1727969977.7299
MEM 703.628906 1727969977.8302
MEM 726.433594 1727969977.9305
MEM 731.636719 1727969978.0308
MEM 736.207031 1727969978.1312
MEM 828.781250 1727969978.2315
MEM 876.734375 1727969978.3319
MEM 876.734375 1727969978.4323
MEM 876.734375 1727969978.5327
MEM 876.812500 1727969978.6330
MEM 876.062500 1727969978.7334
MEM 876.062500 1727969978.8338
MEM 854.613281 1727969978.9341
MEM 868.062500 1727969979.0345
