CMDLINE python demo_DEQ.py
MEM 0.769531 1727969961.2945
MEM 48.351562 1727969961.3949
MEM 167.386719 1727969961.4952
MEM 193.621094 1727969961.5955
MEM 207.046875 1727969961.6958
MEM 219.082031 1727969961.7961
MEM 245.000000 1727969961.8964
MEM 271.265625 1727969961.9968
MEM 287.156250 1727969962.0971
MEM 299.910156 1727969962.1974
MEM 307.648438 1727969962.2977
MEM 314.000000 1727969962.3980
MEM 319.339844 1727969962.4982
MEM 325.011719 1727969962.5986
MEM 328.878906 1727969962.6989
MEM 335.324219 1727969962.7992
MEM 340.867188 1727969962.8995
MEM 348.511719 1727969962.9998
MEM 354.660156 1727969963.1001
MEM 360.550781 1727969963.2004
MEM 364.566406 1727969963.3007
MEM 373.117188 1727969963.4010
MEM 379.406250 1727969963.5013
MEM 391.441406 1727969963.6016
MEM 396.199219 1727969963.7019
MEM 402.992188 1727969963.8022
MEM 418.464844 1727969963.9025
MEM 418.464844 1727969964.0028
MEM 418.464844 1727969964.1031
MEM 419.765625 1727969964.2034
MEM 425.257812 1727969964.3037
MEM 426.136719 1727969964.4040
MEM 433.300781 1727969964.5043
MEM 440.625000 1727969964.6046
MEM 443.261719 1727969964.7049
MEM 446.425781 1727969964.8052
MEM 450.148438 1727969964.9055
MEM 463.757812 1727969965.0058
MEM 469.164062 1727969965.1061
MEM 476.179688 1727969965.2064
MEM 483.839844 1727969965.3067
MEM 492.085938 1727969965.4070
MEM 498.914062 1727969965.5073
MEM 510.949219 1727969965.6077
MEM 516.941406 1727969965.7080
MEM 521.253906 1727969965.8083
MEM 525.906250 1727969965.9087
MEM 527.355469 1727969966.0090
MEM 536.113281 1727969966.1093
MEM 541.871094 1727969966.2096
MEM 547.554688 1727969966.3099
MEM 550.074219 1727969966.4103
MEM 556.617188 1727969966.5106
MEM 583.839844 1727969966.6109
MEM 585.058594 1727969966.7112
MEM 585.730469 1727969966.8116
MEM 603.492188 1727969966.9120
MEM 628.937500 1727969967.0123
MEM 657.992188 1727969967.1126
MEM 669.164062 1727969967.2129
MEM 677.796875 1727969967.3132
MEM 684.773438 1727969967.4135
MEM 689.960938 1727969967.5138
MEM 697.621094 1727969967.6141
MEM 719.039062 1727969967.7144
MEM 729.074219 1727969967.8148
MEM 734.343750 1727969967.9151
MEM 831.523438 1727969968.0154
MEM 876.539062 1727969968.1157
MEM 876.539062 1727969968.2160
MEM 876.539062 1727969968.3164
MEM 876.539062 1727969968.4167
MEM 875.867188 1727969968.5170
MEM 875.867188 1727969968.6173
MEM 875.867188 1727969968.7176
MEM 875.933594 1727969968.8179
MEM 855.960938 1727969968.9182
MEM 856.957031 1727969969.0186
MEM 0.000000 1727969969.1189
