CMDLINE python demo_DEQ.py
MEM 0.734375 1727969981.7269
MEM 46.757812 1727969981.8272
MEM 167.367188 1727969981.9276
MEM 196.769531 1727969982.0279
MEM 208.925781 1727969982.1282
MEM 224.703125 1727969982.2286
MEM 260.953125 1727969982.3289
MEM 273.847656 1727969982.4292
MEM 292.675781 1727969982.5296
MEM 301.687500 1727969982.6299
MEM 309.871094 1727969982.7302
MEM 314.250000 1727969982.8305
MEM 320.621094 1727969982.9308
MEM 325.003906 1727969983.0312
MEM 329.386719 1727969983.1315
MEM 335.570312 1727969983.2318
MEM 340.863281 1727969983.3321
MEM 348.250000 1727969983.4325
MEM 353.917969 1727969983.5328
MEM 357.972656 1727969983.6331
MEM 360.992188 1727969983.7334
MEM 364.769531 1727969983.8338
MEM 374.222656 1727969983.9341
MEM 381.406250 1727969984.0344
MEM 391.613281 1727969984.1354
MEM 394.601562 1727969984.2357
MEM 401.660156 1727969984.3360
MEM 406.191406 1727969984.4363
MEM 419.878906 1727969984.5367
MEM 425.335938 1727969984.6370
MEM 426.113281 1727969984.7373
MEM 432.644531 1727969984.8377
MEM 440.250000 1727969984.9380
MEM 440.894531 1727969985.0384
MEM 444.699219 1727969985.1387
MEM 449.242188 1727969985.2390
MEM 456.460938 1727969985.3394
MEM 465.500000 1727969985.4397
MEM 476.191406 1727969985.5400
MEM 483.347656 1727969985.6403
MEM 490.429688 1727969985.7407
MEM 494.609375 1727969985.8410
MEM 506.195312 1727969985.9412
MEM 512.453125 1727969986.0415
MEM 520.121094 1727969986.1418
MEM 521.542969 1727969986.2422
MEM 526.039062 1727969986.3425
MEM 527.476562 1727969986.4429
MEM 536.406250 1727969986.5432
MEM 541.953125 1727969986.6435
MEM 547.632812 1727969986.7438
MEM 548.851562 1727969986.8442
MEM 555.433594 1727969986.9445
MEM 582.535156 1727969987.0448
MEM 584.917969 1727969987.1452
MEM 584.917969 1727969987.2456
MEM 593.445312 1727969987.3459
MEM 616.164062 1727969987.4463
MEM 657.054688 1727969987.5466
MEM 665.019531 1727969987.6469
MEM 674.578125 1727969987.7472
MEM 681.523438 1727969987.8476
MEM 686.820312 1727969987.9479
MEM 690.796875 1727969988.0482
MEM 699.734375 1727969988.1485
MEM 722.988281 1727969988.2488
MEM 729.167969 1727969988.3492
MEM 733.964844 1727969988.4495
MEM 797.781250 1727969988.5498
MEM 857.636719 1727969988.6501
MEM 875.613281 1727969988.7505
MEM 875.613281 1727969988.8509
MEM 875.613281 1727969988.9512
MEM 874.859375 1727969989.0516
MEM 874.859375 1727969989.1520
MEM 874.925781 1727969989.2523
MEM 855.398438 1727969989.3527
MEM 0.000000 1727969989.4530
