CMDLINE python demo_DEQ.py
MEM 0.738281 1727970032.7684
MEM 46.152344 1727970032.8687
MEM 177.050781 1727970032.9691
MEM 196.460938 1727970033.0694
MEM 208.234375 1727970033.1698
MEM 225.070312 1727970033.2701
MEM 266.613281 1727970033.3704
MEM 278.765625 1727970033.4707
MEM 296.246094 1727970033.5711
MEM 301.402344 1727970033.6714
MEM 309.738281 1727970033.7717
MEM 313.863281 1727970033.8720
MEM 319.988281 1727970033.9723
MEM 324.628906 1727970034.0726
MEM 328.496094 1727970034.1730
MEM 334.941406 1727970034.2733
MEM 340.488281 1727970034.3737
MEM 348.250000 1727970034.4740
MEM 354.382812 1727970034.5743
MEM 359.832031 1727970034.6746
MEM 362.238281 1727970034.7749
MEM 372.074219 1727970034.8752
MEM 377.386719 1727970034.9755
MEM 389.925781 1727970035.0758
MEM 393.781250 1727970035.1761
MEM 401.414062 1727970035.2764
MEM 406.386719 1727970035.3768
MEM 420.378906 1727970035.4771
MEM 425.250000 1727970035.5774
MEM 428.902344 1727970035.6777
MEM 435.746094 1727970035.7780
MEM 440.429688 1727970035.8783
MEM 443.347656 1727970035.9786
MEM 448.031250 1727970036.0789
MEM 450.792969 1727970036.1792
MEM 464.378906 1727970036.2795
MEM 474.035156 1727970036.3799
MEM 482.167969 1727970036.4802
MEM 489.683594 1727970036.5805
MEM 494.679688 1727970036.6808
MEM 507.386719 1727970036.7811
MEM 514.578125 1727970036.8814
MEM 521.351562 1727970036.9817
MEM 521.882812 1727970037.0820
MEM 526.550781 1727970037.1823
MEM 528.800781 1727970037.2826
MEM 537.769531 1727970037.3829
MEM 542.949219 1727970037.4832
MEM 548.664062 1727970037.5835
MEM 553.390625 1727970037.6839
MEM 557.449219 1727970037.7842
MEM 584.195312 1727970037.8845
MEM 584.914062 1727970037.9849
MEM 587.312500 1727970038.0852
MEM 611.144531 1727970038.1855
MEM 642.527344 1727970038.2858
MEM 659.031250 1727970038.3861
MEM 671.269531 1727970038.4864
MEM 679.152344 1727970038.5867
MEM 686.457031 1727970038.6870
MEM 690.953125 1727970038.7874
MEM 700.464844 1727970038.8877
MEM 723.097656 1727970038.9880
MEM 729.886719 1727970039.0883
MEM 733.765625 1727970039.1886
MEM 735.429688 1727970039.2889
MEM 828.203125 1727970039.3892
MEM 877.824219 1727970039.4895
MEM 877.824219 1727970039.5899
MEM 877.824219 1727970039.6903
MEM 877.898438 1727970039.7906
MEM 877.148438 1727970039.8910
MEM 877.148438 1727970039.9913
MEM 844.773438 1727970040.0916
MEM 855.816406 1727970040.1920
