CMDLINE python demo_DEQ.py
MEM 0.636719 1727969889.2225
MEM 51.218750 1727969889.3228
MEM 182.183594 1727969889.4232
MEM 200.507812 1727969889.5235
MEM 215.699219 1727969889.6239
MEM 236.738281 1727969889.7242
MEM 271.941406 1727969889.8245
MEM 289.554688 1727969889.9248
MEM 301.453125 1727969890.0251
MEM 310.664062 1727969890.1254
MEM 315.621094 1727969890.2257
MEM 322.964844 1727969890.3260
MEM 326.832031 1727969890.4263
MEM 333.792969 1727969890.5266
MEM 339.164062 1727969890.6269
MEM 348.718750 1727969890.7272
MEM 355.066406 1727969890.8275
MEM 360.949219 1727969890.9278
MEM 364.820312 1727969891.0281
MEM 374.269531 1727969891.1284
MEM 382.820312 1727969891.2287
MEM 393.375000 1727969891.3290
MEM 398.753906 1727969891.4293
MEM 405.796875 1727969891.5295
MEM 418.890625 1727969891.6300
MEM 418.890625 1727969891.7306
MEM 418.890625 1727969891.8314
MEM 418.890625 1727969891.9322
MEM 418.890625 1727969892.0328
MEM 418.890625 1727969892.1337
MEM 418.890625 1727969892.2344
MEM 418.890625 1727969892.3352
MEM 418.890625 1727969892.4360
MEM 418.890625 1727969892.5366
MEM 418.890625 1727969892.6374
MEM 418.890625 1727969892.7382
MEM 418.890625 1727969892.8385
MEM 418.890625 1727969892.9388
MEM 418.890625 1727969893.0391
MEM 418.890625 1727969893.1394
MEM 425.570312 1727969893.2397
MEM 426.605469 1727969893.3401
MEM 433.289062 1727969893.4403
MEM 441.261719 1727969893.5407
MEM 443.953125 1727969893.6410
MEM 448.816406 1727969893.7413
MEM 452.062500 1727969893.8415
MEM 466.609375 1727969893.9418
MEM 482.601562 1727969894.0421
MEM 488.527344 1727969894.1425
MEM 495.113281 1727969894.2428
MEM 506.640625 1727969894.3432
MEM 515.007812 1727969894.4435
MEM 521.933594 1727969894.5438
MEM 523.683594 1727969894.6441
MEM 527.140625 1727969894.7443
MEM 533.378906 1727969894.8446
MEM 541.941406 1727969894.9449
MEM 547.992188 1727969895.0452
MEM 553.820312 1727969895.1455
MEM 558.148438 1727969895.2458
MEM 584.496094 1727969895.3462
MEM 585.207031 1727969895.4465
MEM 609.582031 1727969895.5468
MEM 617.417969 1727969895.6471
MEM 658.230469 1727969895.7476
MEM 669.941406 1727969895.8479
MEM 678.988281 1727969895.9482
MEM 686.875000 1727969896.0485
MEM 691.867188 1727969896.1488
MEM 700.777344 1727969896.2491
MEM 727.132812 1727969896.3493
MEM 733.019531 1727969896.4496
MEM 737.398438 1727969896.5500
MEM 878.050781 1727969896.6503
MEM 902.933594 1727969896.7506
MEM 907.097656 1727969896.8509
MEM 908.335938 1727969896.9512
MEM 908.761719 1727969897.0515
MEM 908.613281 1727969897.1518
MEM 908.894531 1727969897.2521
MEM 908.910156 1727969897.3525
MEM 908.925781 1727969897.4528
MEM 908.937500 1727969897.5532
MEM 909.031250 1727969897.6535
MEM 911.171875 1727969897.7539
MEM 913.101562 1727969897.8543
MEM 913.101562 1727969897.9546
MEM 913.105469 1727969898.0550
MEM 913.105469 1727969898.1554
MEM 964.640625 1727969898.2557
MEM 1045.332031 1727969898.3561
MEM 1050.957031 1727969898.4564
MEM 1050.957031 1727969898.5566
MEM 1050.957031 1727969898.6570
MEM 1050.957031 1727969898.7572
MEM 1050.957031 1727969898.8575
MEM 1050.957031 1727969898.9577
MEM 1050.957031 1727969899.0580
MEM 1050.957031 1727969899.1582
MEM 1050.957031 1727969899.2585
MEM 1050.957031 1727969899.3587
MEM 1050.957031 1727969899.4590
MEM 1050.957031 1727969899.5593
MEM 1050.957031 1727969899.6595
MEM 1050.957031 1727969899.7598
MEM 1050.957031 1727969899.8601
MEM 1050.957031 1727969899.9603
MEM 1050.957031 1727969900.0606
MEM 1050.957031 1727969900.1609
MEM 1050.957031 1727969900.2611
MEM 1050.957031 1727969900.3614
MEM 1050.957031 1727969900.4617
MEM 1050.957031 1727969900.5619
MEM 1050.957031 1727969900.6622
MEM 1050.957031 1727969900.7625
MEM 1050.957031 1727969900.8628
MEM 1050.957031 1727969900.9631
MEM 1050.957031 1727969901.0633
MEM 1050.957031 1727969901.1636
MEM 1050.957031 1727969901.2638
MEM 1050.957031 1727969901.3641
MEM 1050.957031 1727969901.4644
MEM 1050.957031 1727969901.5647
MEM 1050.957031 1727969901.6649
MEM 1050.957031 1727969901.7652
MEM 1050.957031 1727969901.8655
MEM 1050.957031 1727969901.9658
MEM 1050.957031 1727969902.0661
MEM 1050.957031 1727969902.1665
MEM 1050.957031 1727969902.2668
MEM 1050.957031 1727969902.3672
MEM 1050.957031 1727969902.4675
MEM 1050.957031 1727969902.5678
MEM 1050.957031 1727969902.6681
MEM 1050.957031 1727969902.7683
MEM 1050.957031 1727969902.8686
MEM 1050.957031 1727969902.9688
MEM 1050.957031 1727969903.0691
MEM 1050.957031 1727969903.1694
MEM 1050.957031 1727969903.2697
MEM 1050.957031 1727969903.3701
MEM 1050.957031 1727969903.4704
MEM 1050.957031 1727969903.5707
MEM 1058.742188 1727969903.6710
MEM 1065.953125 1727969903.7713
MEM 1065.953125 1727969903.8716
MEM 1065.953125 1727969903.9719
MEM 1065.953125 1727969904.0722
MEM 1065.953125 1727969904.1724
MEM 1065.953125 1727969904.2728
MEM 1065.953125 1727969904.3730
MEM 1065.953125 1727969904.4733
MEM 1065.953125 1727969904.5736
MEM 1065.953125 1727969904.6739
MEM 1065.953125 1727969904.7741
MEM 1065.953125 1727969904.8744
MEM 1065.953125 1727969904.9747
MEM 1065.953125 1727969905.0749
MEM 1065.953125 1727969905.1752
MEM 1065.953125 1727969905.2755
MEM 1065.953125 1727969905.3758
MEM 1065.953125 1727969905.4762
MEM 1065.953125 1727969905.5765
MEM 1065.953125 1727969905.6768
MEM 1065.953125 1727969905.7772
MEM 1065.953125 1727969905.8776
