CMDLINE python demo_DEQ.py
MEM 0.675781 1727969881.6969
MEM 48.203125 1727969881.7973
MEM 180.105469 1727969881.8976
MEM 197.777344 1727969881.9980
MEM 209.175781 1727969882.0983
MEM 226.500000 1727969882.1987
MEM 263.007812 1727969882.2990
MEM 271.902344 1727969882.3993
MEM 290.929688 1727969882.4997
MEM 301.675781 1727969882.5999
MEM 310.363281 1727969882.7002
MEM 315.003906 1727969882.8005
MEM 322.144531 1727969882.9009
MEM 324.980469 1727969883.0012
MEM 330.136719 1727969883.1015
MEM 336.050781 1727969883.2019
MEM 342.796875 1727969883.3022
MEM 351.515625 1727969883.4025
MEM 355.667969 1727969883.5028
MEM 360.691406 1727969883.6032
MEM 364.671875 1727969883.7035
MEM 374.250000 1727969883.8037
MEM 383.003906 1727969883.9040
MEM 393.054688 1727969884.0043
MEM 398.203125 1727969884.1046
MEM 405.140625 1727969884.2049
MEM 418.472656 1727969884.3055
MEM 418.472656 1727969884.4060
MEM 418.472656 1727969884.5067
MEM 418.472656 1727969884.6074
MEM 418.472656 1727969884.7081
MEM 418.472656 1727969884.8087
MEM 418.472656 1727969884.9093
MEM 418.472656 1727969885.0097
MEM 418.472656 1727969885.1102
MEM 418.472656 1727969885.2110
MEM 418.472656 1727969885.3118
MEM 418.472656 1727969885.4121
MEM 418.472656 1727969885.5124
MEM 418.472656 1727969885.6126
MEM 418.472656 1727969885.7129
MEM 418.472656 1727969885.8132
MEM 421.117188 1727969885.9135
MEM 426.000000 1727969886.0138
MEM 431.828125 1727969886.1141
MEM 440.339844 1727969886.2144
MEM 441.113281 1727969886.3146
MEM 446.367188 1727969886.4149
MEM 450.085938 1727969886.5152
MEM 463.964844 1727969886.6155
MEM 476.226562 1727969886.7158
MEM 484.261719 1727969886.8162
MEM 492.367188 1727969886.9166
MEM 494.769531 1727969887.0169
MEM 510.859375 1727969887.1172
MEM 516.570312 1727969887.2175
MEM 521.394531 1727969887.3179
MEM 525.617188 1727969887.4182
MEM 527.152344 1727969887.5185
MEM 536.183594 1727969887.6188
MEM 542.054688 1727969887.7191
MEM 547.496094 1727969887.8194
MEM 553.054688 1727969887.9197
