CMDLINE python demo_DEQ.py
MEM 1178.089844 1727969832.4827
MEM 1178.089844 1727969832.5829
MEM 1186.445312 1727969832.6832
MEM 1186.445312 1727969832.7836
MEM 1186.445312 1727969832.8838
MEM 1186.445312 1727969832.9841
MEM 1186.445312 1727969833.0844
MEM 1186.445312 1727969833.1847
MEM 1186.445312 1727969833.2850
MEM 1186.445312 1727969833.3851
MEM 1186.445312 1727969833.4854
MEM 1186.445312 1727969833.5857
MEM 1186.445312 1727969833.6860
MEM 1186.445312 1727969833.7862
MEM 1191.300781 1727969833.8865
MEM 1221.191406 1727969833.9868
MEM 1283.281250 1727969834.0871
MEM 1283.281250 1727969834.1875
MEM 1283.281250 1727969834.2877
MEM 1283.300781 1727969834.3880
MEM 1283.300781 1727969834.4883
MEM 1283.300781 1727969834.5885
MEM 1283.300781 1727969834.6888
MEM 1283.300781 1727969834.7890
MEM 1283.300781 1727969834.8893
MEM 1283.300781 1727969834.9896
MEM 1283.300781 1727969835.0898
MEM 1283.300781 1727969835.1901
MEM 1283.300781 1727969835.2903
MEM 1283.300781 1727969835.3906
MEM 1283.300781 1727969835.4909
MEM 1283.300781 1727969835.5912
MEM 1283.300781 1727969835.6915
MEM 1283.300781 1727969835.7917
MEM 1283.300781 1727969835.8920
MEM 1283.300781 1727969835.9922
MEM 1283.300781 1727969836.0925
MEM 1283.300781 1727969836.1927
MEM 1283.300781 1727969836.2930
MEM 1283.300781 1727969836.3932
MEM 1283.300781 1727969836.4935
MEM 1283.300781 1727969836.5938
MEM 1283.300781 1727969836.6941
MEM 1283.300781 1727969836.7943
MEM 1283.300781 1727969836.8946
MEM 1283.300781 1727969836.9949
MEM 1283.300781 1727969837.0952
MEM 1283.300781 1727969837.1955
MEM 1283.300781 1727969837.2957
MEM 1283.300781 1727969837.3960
MEM 1283.300781 1727969837.4963
MEM 1283.300781 1727969837.5965
MEM 1283.300781 1727969837.6968
MEM 1283.300781 1727969837.7972
MEM 1283.300781 1727969837.8975
MEM 1283.300781 1727969837.9977
MEM 1283.300781 1727969838.0980
MEM 1283.300781 1727969838.1983
MEM 1283.300781 1727969838.2986
MEM 1283.300781 1727969838.3988
MEM 1283.300781 1727969838.4991
MEM 1283.300781 1727969838.5993
MEM 1283.300781 1727969838.6996
MEM 1283.300781 1727969838.7999
MEM 1283.300781 1727969838.9002
MEM 1283.300781 1727969839.0005
MEM 1283.343750 1727969839.1009
MEM 1283.343750 1727969839.2011
MEM 1283.343750 1727969839.3014
MEM 1283.343750 1727969839.4016
MEM 1283.343750 1727969839.5020
MEM 1283.343750 1727969839.6024
MEM 1283.343750 1727969839.7028
MEM 1283.343750 1727969839.8032
MEM 1283.343750 1727969839.9034
MEM 1283.343750 1727969840.0037
MEM 1283.343750 1727969840.1040
MEM 1283.343750 1727969840.2043
MEM 1283.343750 1727969840.3046
MEM 1283.343750 1727969840.4049
MEM 1283.343750 1727969840.5052
MEM 1283.343750 1727969840.6057
MEM 1283.343750 1727969840.7059
MEM 1283.343750 1727969840.8062
MEM 1283.343750 1727969840.9065
MEM 1283.343750 1727969841.0069
MEM 1283.343750 1727969841.1071
MEM 1283.343750 1727969841.2075
MEM 1283.343750 1727969841.3078
MEM 1283.343750 1727969841.4081
MEM 1283.343750 1727969841.5084
MEM 1283.343750 1727969841.6087
MEM 1283.343750 1727969841.7091
MEM 1283.343750 1727969841.8094
MEM 1283.343750 1727969841.9097
MEM 1283.343750 1727969842.0100
MEM 1283.343750 1727969842.1103
MEM 1283.343750 1727969842.2107
MEM 1283.343750 1727969842.3110
MEM 1283.343750 1727969842.4113
MEM 1283.343750 1727969842.5117
MEM 1283.343750 1727969842.6120
MEM 1283.343750 1727969842.7122
MEM 1283.343750 1727969842.8126
MEM 1283.343750 1727969842.9129
MEM 1283.343750 1727969843.0132
MEM 1283.343750 1727969843.1135
MEM 1283.343750 1727969843.2139
MEM 1283.343750 1727969843.3141
MEM 1283.343750 1727969843.4144
MEM 1283.343750 1727969843.5147
MEM 1283.343750 1727969843.6150
MEM 1283.343750 1727969843.7153
MEM 1283.343750 1727969843.8156
MEM 1283.402344 1727969843.9159
MEM 1283.402344 1727969844.0162
MEM 1283.402344 1727969844.1165
MEM 1283.402344 1727969844.2167
MEM 1283.402344 1727969844.3170
MEM 1283.402344 1727969844.4173
MEM 1283.402344 1727969844.5176
MEM 1283.402344 1727969844.6178
MEM 1283.402344 1727969844.7181
MEM 1283.402344 1727969844.8184
MEM 1283.402344 1727969844.9186
MEM 1283.402344 1727969845.0190
MEM 1283.402344 1727969845.1192
MEM 1283.402344 1727969845.2195
MEM 1283.402344 1727969845.3198
MEM 1283.402344 1727969845.4201
MEM 1283.402344 1727969845.5204
MEM 1283.402344 1727969845.6206
MEM 1283.402344 1727969845.7209
MEM 1283.402344 1727969845.8212
MEM 1283.402344 1727969845.9214
MEM 1283.402344 1727969846.0218
MEM 1283.402344 1727969846.1220
MEM 1283.402344 1727969846.2223
MEM 1283.402344 1727969846.3226
MEM 1283.402344 1727969846.4228
MEM 1283.402344 1727969846.5231
MEM 1283.402344 1727969846.6234
MEM 1283.402344 1727969846.7237
MEM 1283.402344 1727969846.8239
MEM 1283.402344 1727969846.9242
