,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.1,,0.0008887084550224245,0.0048086922615766525,0.0009452258236706257,0.0010748152853921056,0.0075283534824848175,0.0020780544728040695,0.00865596067160368,0.009137940593063831,0.0033148915972560644,0.0019059106707572937,0.0028505856171250343,0.001261484925635159,0.002520127920433879,0.010064484551548958,0.0014357507461681962,0.0019379564328119159,0.00320466049015522,0.008516495116055012,0.006092276889830828,0.001020723721012473,0.004082109779119492,0.0006386188906617463,0.003504430875182152,0.0011854821350425482,0.0047528501600027084,0.0034456858411431313,0.0009984001517295837,0.006771028973162174,0.0011124786688014865,0.0013868743553757668,0.004467132035642862,0.012908798642456532,0.0048014018684625626,0.00298429187387228,0.005414378829300404,0.022239716723561287,0.005140728782862425,0.005544065497815609,0.004644439090043306,0.011355836875736713,0.0022619832307100296,0.00569133972749114,0.0032074758782982826,0.0015336337964981794,0.007761812303215265,0.006443665362894535,0.00542758172377944,0.0026623725425451994,0.0007016910240054131,0.002801858354359865
1,0.2,,0.004605086054652929,0.006484306417405605,0.006099908612668514,0.0012488079955801368,0.003546945983543992,0.0028477490413933992,0.0029822452925145626,0.014273179695010185,0.0015486088814213872,0.0012152900453656912,0.0020490719471126795,0.004263024777173996,0.004287869669497013,0.0019314918899908662,0.004042710177600384,0.003462917869910598,0.0015133596025407314,0.0005227072979323566,0.002340259961783886,0.00010619084787322208,0.0022878439631313086,0.0030253464356064796,0.09351001679897308,0.00568611454218626,0.0019068983383476734,0.0038535415660589933,0.004855272825807333,0.004061609040945768,0.0033786166459321976,0.0017431840533390641,0.006277774460613728,0.0007768307696096599,0.00143118214327842,0.004424358252435923,0.003301314078271389,0.003191928146407008,0.008320026099681854,0.0006359336548484862,0.0029389820992946625,0.0014120107516646385,0.0018123415065929294,0.000763016170822084,0.0006908556097187102,0.0021965913474559784,0.0044855279847979546,0.0042759329080581665,0.005177042447030544,0.002359518315643072,0.0034820197615772486,0.0019751018844544888
2,0.3,,0.002052582334727049,0.011813478544354439,0.002831072313711047,0.04503994062542915,0.0017191487131640315,0.003495112294331193,0.0029455660842359066,0.029879312962293625,0.026611361652612686,0.012182945385575294,0.046769045293331146,0.006514242384582758,0.0019995500333607197,0.017265168949961662,0.019366813823580742,0.0026446778792887926,0.004255926702171564,0.043796356767416,0.014345424249768257,0.06879644095897675,0.0019009072566404939,0.005540093872696161,0.019917650148272514,0.04936416074633598,0.0024933023378252983,0.0020634036045521498,0.0025672782212495804,0.000984836369752884,0.01674390397965908,0.0012398589169606566,0.0048116217367351055,0.000344907894032076,0.04355211183428764,0.0014844408724457026,0.00217389571480453,0.0020291125401854515,0.03556430712342262,0.028768891468644142,0.0030872493516653776,0.003421542700380087,0.004691766574978828,0.0006663196254521608,0.04674239084124565,0.003316942835226655,0.015409344807267189,0.0036418153904378414,0.004149876069277525,0.003955636639147997,0.08059227466583252,0.0021798587404191494
3,0.4,,0.05296291038393974,0.018028149381279945,0.005521080922335386,0.015750013291835785,0.014300559647381306,0.013154287822544575,0.0011729791294783354,0.029700541868805885,0.03604482114315033,0.09349342435598373,0.007809808943420649,0.029939185827970505,0.0060215359553694725,0.0017962722340598702,0.03619334474205971,0.002904733642935753,0.0127846859395504,0.07120437175035477,0.058741938322782516,0.008923325687646866,0.0004996158531866968,0.029573015868663788,0.002191767795011401,0.023670848459005356,0.002318065846338868,0.015015915036201477,0.03842184692621231,0.0022993148304522038,0.0019999323412775993,0.011826676316559315,0.012366124428808689,0.006875214632600546,0.009822131134569645,0.019360153004527092,0.00855724886059761,0.031716249883174896,0.0009955979185178876,0.0014056205982342362,0.023159461095929146,0.03551127389073372,0.00819457322359085,0.03642875328660011,0.002037920756265521,0.055754002183675766,0.02827308140695095,0.014090282842516899,0.0002969827619381249,0.026985256001353264,0.001582788536325097,0.0036812848411500454
4,0.5,,0.01764700934290886,0.0007896844763308764,0.02662205696105957,0.024654289707541466,0.01817041076719761,0.05544106662273407,0.007943966425955296,0.005987517535686493,0.012537267990410328,0.09440076351165771,0.006009314209222794,0.06199970468878746,0.13777652382850647,0.06273620575666428,0.023523453623056412,0.06136327609419823,0.03601572662591934,0.023328721523284912,0.03027031570672989,0.011196953244507313,0.001612739055417478,0.029101580381393433,0.0430857315659523,0.028950635343790054,0.00519379461184144,0.01042810920625925,0.01153925433754921,0.011513642966747284,0.014527268707752228,0.012815865688025951,0.011979429051280022,0.010723203420639038,0.052138250321149826,0.03626685589551926,0.019687747582793236,0.005337921436876059,0.0010934305610135198,0.01490591187030077,0.0264359749853611,0.019185474142432213,0.011551031842827797,0.009846039116382599,0.07719600945711136,0.04839317128062248,0.02866792120039463,0.047649554908275604,0.02450599893927574,0.04644541069865227,0.01980735920369625,0.016317658126354218
5,0.6,,0.0014397086342796683,0.021072817966341972,0.004365737084299326,0.024093912914395332,0.006959201768040657,0.00411236984655261,0.11549360305070877,0.015004872344434261,0.01285554002970457,0.013813620433211327,0.018495511263608932,0.03595948964357376,0.009721624664962292,0.01752043329179287,0.008262399584054947,0.021444840356707573,0.036923039704561234,0.027678783982992172,0.03982877358794212,0.005341659300029278,0.07758141309022903,0.07366757094860077,0.04826774075627327,0.0034646347630769014,0.014186750166118145,0.009855243377387524,0.02059200406074524,0.01014950592070818,0.02784440852701664,0.009066292084753513,0.0328778438270092,0.010136581026017666,0.09378806501626968,0.17419415712356567,0.013870926573872566,0.026856878772377968,0.007240702398121357,0.026243126019835472,0.006214924622327089,0.01380007155239582,0.03616585582494736,0.039935402572155,0.0071930717676877975,0.031306274235248566,0.009114115498960018,0.004500116221606731,0.01592760533094406,0.04853690415620804,0.04191367328166962,0.05677676945924759
6,0.7,,0.010315920226275921,0.12315960228443146,0.013007809408009052,0.02097378298640251,0.06024716794490814,0.0067568314261734486,0.014323352836072445,0.010889417491853237,0.007135083433240652,0.03657800704240799,0.06069856882095337,0.006314790807664394,0.07393380999565125,0.03525468334555626,0.07585301250219345,0.02863181009888649,0.01461724005639553,0.012859668582677841,0.0020320068579167128,0.01913166418671608,0.006306461524218321,0.06560642272233963,0.033884111791849136,0.03710787370800972,0.01943792589008808,0.018130021169781685,0.02341494709253311,0.014200937934219837,0.009699742309749126,0.008519025519490242,0.006345668341964483,0.25760844349861145,0.0006957686855457723,0.014455283060669899,0.009544767439365387,0.06111016124486923,0.021035294979810715,0.012585185468196869,0.012924717739224434,0.03660845756530762,0.1042499765753746,0.02385970577597618,0.030126892030239105,0.011969402432441711,0.0035210889764130116,0.005652323365211487,0.0024301360826939344,0.015515821054577827,0.017882758751511574,0.00757376104593277
7,0.8,,0.016672447323799133,0.022103385999798775,0.052115391939878464,0.008629696443676949,0.045642293989658356,0.018144795671105385,0.00783583801239729,0.005280207376927137,0.0063101015985012054,0.024556243792176247,0.021586311981081963,0.02813679166138172,0.011056477203965187,0.02488706260919571,0.015235476195812225,0.02737468108534813,0.02170911803841591,0.08195346593856812,0.018003273755311966,0.010940797626972198,0.031292203813791275,0.015510786324739456,0.01656745932996273,0.012150395661592484,0.09376953542232513,0.01593082770705223,0.003357343142852187,0.01636846549808979,0.02744593471288681,0.16140413284301758,0.09356564283370972,0.011894560419023037,0.007871191948652267,0.014388758689165115,0.03577405586838722,0.019018467515707016,0.021211326122283936,0.0342596061527729,0.02490357495844364,0.04815996438264847,0.03853430226445198,0.027615930885076523,0.003668712917715311,0.1984051913022995,0.010335076600313187,0.01011876855045557,0.027234332635998726,0.028284478932619095,0.0236503928899765,0.022695081308484077
8,0.9,,0.02426723949611187,0.1606256663799286,0.012601491995155811,0.022898290306329727,0.007436844520270824,0.006140595301985741,0.12548291683197021,0.002311177784577012,0.06089037284255028,0.001669077668339014,0.04308967664837837,0.008769513107836246,0.026905087754130363,0.024356281384825706,0.02150983363389969,0.014330726116895676,0.030438415706157684,0.03267659246921539,0.027914924547076225,0.03224892169237137,0.38628703355789185,0.004637491423636675,0.06252065300941467,0.021806851029396057,0.0223276037722826,0.08997836709022522,0.038916878402233124,0.016735684126615524,0.01067126914858818,0.010814386419951916,0.09518574923276901,0.004808319266885519,0.059589873999357224,0.0032358954194933176,0.02759627066552639,0.00909341685473919,0.04338104650378227,0.0639786347746849,0.004972653463482857,0.042286984622478485,0.028244318440556526,0.008298458531498909,0.015563509427011013,0.1253584623336792,0.02106218785047531,0.016488268971443176,0.036873746663331985,0.01083704736083746,0.13544835150241852,0.020236393436789513
9,1.0,,0.01283953059464693,0.021131224930286407,0.005961527582257986,0.008642145432531834,0.01260053925216198,0.016493096947669983,0.006250469479709864,0.14042772352695465,0.10471436381340027,0.03215978294610977,0.008072027005255222,0.020050492137670517,0.015311915427446365,0.03002955950796604,0.01774316281080246,0.05693424120545387,0.024171313270926476,0.01413427572697401,0.18244022130966187,0.015321389771997929,0.01698870025575161,0.31283730268478394,0.040968116372823715,0.007030515465885401,0.035860877484083176,0.026830345392227173,0.029780862852931023,0.0316946841776371,0.039409223943948746,0.017536960542201996,0.026889333501458168,0.03309481963515282,0.05983573570847511,0.014402375556528568,0.029950853437185287,0.002714532893151045,0.0062370384112000465,0.009160444140434265,0.0025675459764897823,0.016973910853266716,0.011808717623353004,0.031239448115229607,0.027624759823083878,0.00666406936943531,0.0551605187356472,0.02636663429439068,0.04033847525715828,0.09422525018453598,0.018107395619153976,0.020054355263710022
