,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49,repeat50,repeat51,repeat52,repeat53,repeat54,repeat55,repeat56,repeat57,repeat58,repeat59,repeat60,repeat61,repeat62,repeat63,repeat64,repeat65,repeat66,repeat67,repeat68,repeat69,repeat70,repeat71,repeat72,repeat73,repeat74,repeat75,repeat76,repeat77,repeat78,repeat79,repeat80,repeat81,repeat82,repeat83,repeat84,repeat85,repeat86,repeat87,repeat88,repeat89,repeat90,repeat91,repeat92,repeat93,repeat94,repeat95,repeat96,repeat97,repeat98,repeat99
21,3.4168963,0.815307080745697,0.8058003783226013,0.8096038103103638,0.808961808681488,0.813673734664917,0.8112003207206726,0.8105711936950684,0.8128793239593506,0.8050618171691895,0.8099268674850464,0.8128801584243774,0.810295820236206,0.8078176975250244,0.8074603080749512,0.814932107925415,0.8151501417160034,0.8088934421539307,0.8123391270637512,0.8086048364639282,0.8106203079223633,0.8107911348342896,0.8114843368530273,0.809797465801239,0.8123039603233337,0.8100535273551941,0.8169968128204346,0.8137861490249634,0.8144043684005737,0.8117835521697998,0.807185173034668,0.8144605755805969,0.8074972629547119,0.8123822212219238,0.8167076110839844,0.8072082996368408,0.8179420828819275,0.8131858706474304,0.8079813122749329,0.8102225661277771,0.8087480664253235,0.8145228028297424,0.8109054565429688,0.8106502890586853,0.8121621608734131,0.8109771013259888,0.8120027780532837,0.8095877170562744,0.8044573068618774,0.8104122281074524,0.8178045749664307,0.8096794486045837,0.807832658290863,0.8176808953285217,0.8096731901168823,0.8102526068687439,0.8120782375335693,0.8131541013717651,0.8118612766265869,0.8142784237861633,0.8024238348007202,0.8132374882698059,0.8155413866043091,0.8109596371650696,0.8100932240486145,0.8149093985557556,0.8193727731704712,0.8017464280128479,0.8161917328834534,0.8134096264839172,0.8110533356666565,0.809945285320282,0.8113910555839539,0.8205280900001526,0.8193120360374451,0.8110945820808411,0.8074383735656738,0.8126353621482849,0.8076809644699097,0.8103494644165039,0.8082175850868225,0.8135223388671875,0.8094321489334106,0.808740496635437,0.8058522939682007,0.8072913289070129,0.8110665082931519,0.8079856038093567,0.8154812455177307,0.8039981722831726,0.8125945329666138,0.814198911190033,0.8093198537826538,0.7969173192977905,0.8107907176017761,0.8183929324150085,0.8096774816513062,0.812595546245575,0.8135083317756653,0.8089717030525208,0.8068769574165344
22,3.4919906,0.8242924213409424,0.8194446563720703,0.8194612264633179,0.8229827284812927,0.8212379217147827,0.8183179497718811,0.8136808276176453,0.8215979933738708,0.8174535632133484,0.8190432786941528,0.8227310180664062,0.8139488697052002,0.8130291700363159,0.8200041055679321,0.8223891854286194,0.8167499303817749,0.8182775974273682,0.8207494616508484,0.8249692320823669,0.8225730061531067,0.8193735480308533,0.8188709020614624,0.8215560913085938,0.8182762265205383,0.8207947015762329,0.8188005089759827,0.8258000612258911,0.8195965886116028,0.8210296034812927,0.8172265291213989,0.8220656514167786,0.8184190988540649,0.8137381076812744,0.8199778199195862,0.8279035687446594,0.8226376175880432,0.8208529353141785,0.8206982016563416,0.8189433813095093,0.8148789405822754,0.8232855200767517,0.8198068737983704,0.8222929239273071,0.8191571831703186,0.8230848908424377,0.8190266489982605,0.8177873492240906,0.8207245469093323,0.8190000057220459,0.8231281042098999,0.8144469261169434,0.8243091106414795,0.8196426033973694,0.8156039118766785,0.8253589868545532,0.8220883011817932,0.8232176899909973,0.8196948170661926,0.8208351135253906,0.8145658373832703,0.8228070735931396,0.8150100111961365,0.823146641254425,0.820256769657135,0.8183045387268066,0.8174944519996643,0.8239412307739258,0.8223454356193542,0.8204150795936584,0.8213889598846436,0.8151057958602905,0.8205555081367493,0.8192138075828552,0.8210452198982239,0.8215230703353882,0.8187142014503479,0.8228197693824768,0.8195556998252869,0.8211787939071655,0.8159232139587402,0.8178151845932007,0.8238034248352051,0.8196417093276978,0.8200905323028564,0.8188467025756836,0.8201223015785217,0.8144848942756653,0.8202025890350342,0.8237255811691284,0.8176780343055725,0.8168793320655823,0.8130100965499878,0.8109540939331055,0.8162564039230347,0.8232117295265198,0.8193215131759644,0.8182321786880493,0.8174070119857788,0.8138880133628845,0.823921799659729
23,3.5679011,0.8264479637145996,0.8259605765342712,0.8311236500740051,0.826251745223999,0.8298811316490173,0.8303968906402588,0.8238077163696289,0.8319683074951172,0.8235413432121277,0.826072633266449,0.8275830745697021,0.8269520998001099,0.8266783356666565,0.8270204663276672,0.8252108693122864,0.8234241008758545,0.8333118557929993,0.8290657997131348,0.8279296159744263,0.8288889527320862,0.8318775296211243,0.8282176852226257,0.8251003623008728,0.8263705968856812,0.8288432359695435,0.8293220400810242,0.8340702652931213,0.8285035490989685,0.8252022862434387,0.8153174519538879,0.832827627658844,0.8266911506652832,0.823984682559967,0.8292799592018127,0.8279992341995239,0.8289734721183777,0.8280760645866394,0.8273624777793884,0.8253146409988403,0.8284246921539307,0.8292309641838074,0.8293001055717468,0.8287513852119446,0.8282959461212158,0.8274422883987427,0.8252788782119751,0.8294327855110168,0.832273542881012,0.8308165669441223,0.8291400074958801,0.8263812065124512,0.824760913848877,0.8294625282287598,0.8299731016159058,0.8236038684844971,0.8271336555480957,0.8277788162231445,0.825671374797821,0.8291763067245483,0.8287674188613892,0.8344289660453796,0.8321030139923096,0.8233503699302673,0.8285855054855347,0.8330984115600586,0.8343248963356018,0.8317459225654602,0.8253408670425415,0.8269760012626648,0.8306229114532471,0.8268722295761108,0.8273518085479736,0.82559734582901,0.8257297873497009,0.831102192401886,0.822187602519989,0.8244757056236267,0.8290813565254211,0.8261557221412659,0.8262009024620056,0.8227746486663818,0.8256257176399231,0.8243150115013123,0.8281493782997131,0.8300560116767883,0.8256708979606628,0.8267711400985718,0.8287661671638489,0.8269131183624268,0.8282536864280701,0.8302556872367859,0.8254180550575256,0.8279078006744385,0.8344203233718872,0.8272140622138977,0.8302431702613831,0.8289417028427124,0.8308629989624023,0.8268638253211975,0.8214050531387329
24,3.644628,0.8358924984931946,0.8353561162948608,0.833103358745575,0.8389749526977539,0.8334910869598389,0.8316276669502258,0.8285001516342163,0.8357398509979248,0.8344395160675049,0.8340505361557007,0.8372900485992432,0.8344393372535706,0.8304944038391113,0.8332914113998413,0.8350669741630554,0.832338273525238,0.8364652991294861,0.8358296155929565,0.8380496501922607,0.8305495977401733,0.8322046399116516,0.8366113305091858,0.8310402035713196,0.8352219462394714,0.8387932181358337,0.8366179466247559,0.836081862449646,0.8335704207420349,0.8321511149406433,0.8362686038017273,0.8309404850006104,0.8298684358596802,0.835331380367279,0.8339370489120483,0.8321495652198792,0.8389584422111511,0.833733081817627,0.8319430947303772,0.8342772126197815,0.8336158990859985,0.8400635123252869,0.8339484930038452,0.8353404998779297,0.836418867111206,0.8351060748100281,0.8316638469696045,0.830362856388092,0.8301568031311035,0.8384267687797546,0.838482141494751,0.8340731859207153,0.8309251666069031,0.8324093222618103,0.8357425332069397,0.8372912406921387,0.8356868028640747,0.8317530751228333,0.8377032279968262,0.833125650882721,0.8369647264480591,0.833812952041626,0.8413986563682556,0.836302638053894,0.8378646969795227,0.8350960612297058,0.8335410952568054,0.8380776643753052,0.8369758725166321,0.8348026871681213,0.8348662853240967,0.8379287123680115,0.8338444828987122,0.8315551280975342,0.8368927240371704,0.8381736874580383,0.8374884724617004,0.8333734273910522,0.837846577167511,0.8327230215072632,0.8355776071548462,0.8316522836685181,0.829659640789032,0.8357065916061401,0.8308475017547607,0.8333783745765686,0.8293609619140625,0.8336389660835266,0.8363808393478394,0.8319810032844543,0.8328370451927185,0.8377678394317627,0.8337013721466064,0.8355424404144287,0.8319858312606812,0.8316879272460938,0.8377915024757385,0.8393700122833252,0.8351176381111145,0.830242395401001,0.8337566256523132
25,3.7221713,0.8404868245124817,0.8433231115341187,0.8425197005271912,0.8395145535469055,0.8398587703704834,0.8395364880561829,0.8414443731307983,0.8409420847892761,0.8428483009338379,0.8402593731880188,0.8426979184150696,0.838810920715332,0.8389207124710083,0.8432146906852722,0.8409562706947327,0.8402636647224426,0.8393574953079224,0.8405680656433105,0.8396139740943909,0.8431215882301331,0.8430933952331543,0.8414869904518127,0.8376386165618896,0.8441342711448669,0.8380343317985535,0.8407292366027832,0.842317521572113,0.8413136005401611,0.8379676342010498,0.8472681641578674,0.8412202596664429,0.8418884873390198,0.8358443975448608,0.8466156125068665,0.8433655500411987,0.8435053825378418,0.8449162244796753,0.8453204035758972,0.8449488878250122,0.8411355018615723,0.8413328528404236,0.8410556316375732,0.8426024317741394,0.8377806544303894,0.8425934910774231,0.8419646620750427,0.8374307155609131,0.8394693732261658,0.8408107757568359,0.8438305854797363,0.8413981199264526,0.8420435190200806,0.8409760594367981,0.8384296298027039,0.8415991067886353,0.8372793793678284,0.8431697487831116,0.8380001187324524,0.8400443196296692,0.8431342840194702,0.8403968811035156,0.8369821310043335,0.8328567743301392,0.8395870327949524,0.8380860090255737,0.840386688709259,0.8397775888442993,0.8386639952659607,0.835690438747406,0.8438616394996643,0.839954137802124,0.8413311243057251,0.838799774646759,0.8446661829948425,0.8428820967674255,0.8381874561309814,0.8382275700569153,0.8361702561378479,0.8399688601493835,0.8391878604888916,0.837559700012207,0.8432959318161011,0.8427120447158813,0.8418710827827454,0.8313952088356018,0.8389750123023987,0.8441747426986694,0.8417984843254089,0.8374390602111816,0.8397400379180908,0.8436705470085144,0.8430559039115906,0.8408162593841553,0.8453467488288879,0.8399316072463989,0.8397353291511536,0.836126446723938,0.838323175907135,0.845786988735199,0.8418838977813721
26,3.8005307,0.8465794324874878,0.8450600504875183,0.8485735654830933,0.8506604433059692,0.8429502844810486,0.8468431830406189,0.8456560373306274,0.8524194955825806,0.8436034917831421,0.8491389155387878,0.8463636040687561,0.8457762598991394,0.849676251411438,0.8479685187339783,0.8467316031455994,0.8415006995201111,0.8502874374389648,0.8524384498596191,0.8477132320404053,0.8462578654289246,0.8461923003196716,0.8419706225395203,0.8463653922080994,0.8530064225196838,0.8493614196777344,0.8456721901893616,0.8453428745269775,0.8433942794799805,0.8484329581260681,0.8498243093490601,0.8503832817077637,0.848927915096283,0.8432028293609619,0.8459050059318542,0.8438052535057068,0.844521701335907,0.8426005244255066,0.8441723585128784,0.8495381474494934,0.8521057963371277,0.8493248224258423,0.8483606576919556,0.8517687916755676,0.8479816317558289,0.8485050797462463,0.8496689200401306,0.8439939618110657,0.8520117998123169,0.8491314649581909,0.8422532081604004,0.8487023115158081,0.8504137992858887,0.8505308628082275,0.8530057668685913,0.8447532057762146,0.848092794418335,0.8473066687583923,0.8471455574035645,0.8502256870269775,0.8463018536567688,0.8499690294265747,0.8525266647338867,0.8472502827644348,0.8484691977500916,0.8504445552825928,0.8485620617866516,0.8485145568847656,0.8460882306098938,0.8503839373588562,0.8447539210319519,0.8483615517616272,0.8464199304580688,0.8482010960578918,0.8481683135032654,0.8454433083534241,0.8510705232620239,0.8439550399780273,0.8471367359161377,0.8443585634231567,0.8475553393363953,0.8489000797271729,0.8451045155525208,0.8487884402275085,0.8457445502281189,0.8485052585601807,0.8456408381462097,0.8466858863830566,0.8504958152770996,0.8495668172836304,0.8443987369537354,0.8448539972305298,0.843686580657959,0.8477342128753662,0.8422039747238159,0.852534830570221,0.8494464755058289,0.8491867184638977,0.8483781218528748,0.8481447696685791,0.8489797115325928
27,3.8797061,0.8594186902046204,0.8515089750289917,0.8545011281967163,0.8580083847045898,0.8586203455924988,0.8526896834373474,0.8497433066368103,0.8504190444946289,0.8509241938591003,0.8557016849517822,0.8541975021362305,0.8519741296768188,0.8576214909553528,0.8561701774597168,0.8555391430854797,0.8521879315376282,0.8544300198554993,0.8555455207824707,0.854374885559082,0.8510076403617859,0.8538944125175476,0.8541151881217957,0.8543580770492554,0.854207456111908,0.8523953557014465,0.8531181812286377,0.8578080534934998,0.8560268878936768,0.8555417060852051,0.8539250493049622,0.8499109745025635,0.853749692440033,0.8573264479637146,0.8500621318817139,0.8565053343772888,0.8565006852149963,0.8507135510444641,0.8497753143310547,0.8573362827301025,0.8496204614639282,0.8554105758666992,0.856096625328064,0.8487871289253235,0.8518091440200806,0.8538559079170227,0.8596110343933105,0.8537898063659668,0.853087842464447,0.8488547205924988,0.8512153625488281,0.8510360717773438,0.854503870010376,0.8555615544319153,0.8563100099563599,0.8539420366287231,0.8552460670471191,0.8526093363761902,0.8521279096603394,0.8558688759803772,0.8529548048973083,0.8487039804458618,0.857616126537323,0.8527036905288696,0.8549209833145142,0.8538722395896912,0.854219377040863,0.8533220887184143,0.8538269996643066,0.8539701700210571,0.8563861846923828,0.8542124032974243,0.8538535237312317,0.8532532453536987,0.8521720767021179,0.8520455956459045,0.8520753979682922,0.8566951751708984,0.85992830991745,0.8563552498817444,0.8548973202705383,0.851699709892273,0.8540554642677307,0.8509968519210815,0.8508786559104919,0.8572359085083008,0.8540010452270508,0.8506863713264465,0.8519492745399475,0.8526583909988403,0.8537329435348511,0.8510840535163879,0.8538928627967834,0.8522453308105469,0.8548800349235535,0.85875403881073,0.8572251200675964,0.8541616201400757,0.8552682995796204,0.8539470434188843,0.8528424501419067
28,3.959698,0.8590008020401001,0.8636363744735718,0.8623324036598206,0.8579902052879333,0.8568791747093201,0.8609033226966858,0.8592483997344971,0.8616530299186707,0.8593596816062927,0.8557420372962952,0.8577060699462891,0.8579453229904175,0.8558002710342407,0.8584685325622559,0.8563240766525269,0.8594591021537781,0.8584810495376587,0.8583838939666748,0.8605364561080933,0.8609996438026428,0.8584155440330505,0.8591363430023193,0.8608915209770203,0.8596460819244385,0.8565855026245117,0.8621740341186523,0.8632305860519409,0.8581358194351196,0.8562448620796204,0.8556119799613953,0.8605234026908875,0.862809956073761,0.8585569262504578,0.8590081930160522,0.8654123544692993,0.8564921021461487,0.8587743639945984,0.8564188480377197,0.8617342114448547,0.8610184788703918,0.858771026134491,0.8588135838508606,0.858123779296875,0.8577631711959839,0.8610884547233582,0.8575705885887146,0.8590582609176636,0.8620599508285522,0.8619719743728638,0.8558547496795654,0.8593205213546753,0.8635327219963074,0.8570482730865479,0.8607270121574402,0.8609539866447449,0.8573513031005859,0.8572671413421631,0.857180655002594,0.860991358757019,0.8567675352096558,0.8578049540519714,0.859825074672699,0.8588583469390869,0.8593659996986389,0.8631702661514282,0.8570255041122437,0.8599894046783447,0.8598487973213196,0.8579018712043762,0.8564915060997009,0.8572198152542114,0.8613812327384949,0.8578307628631592,0.8579822182655334,0.8566151261329651,0.8594925999641418,0.8596668243408203,0.860493540763855,0.8633130788803101,0.8573322296142578,0.8595438599586487,0.8600509762763977,0.8594511151313782,0.8615216016769409,0.8582944273948669,0.8612459301948547,0.8635959029197693,0.8591732978820801,0.8611308336257935,0.8540925979614258,0.8618497848510742,0.8593274354934692,0.8584403395652771,0.8543286323547363,0.8628845810890198,0.8553487062454224,0.8581396341323853,0.8597151041030884,0.8586050868034363,0.8583622574806213
29,4.040506,0.8647883534431458,0.8606358170509338,0.8641917705535889,0.868990421295166,0.869351863861084,0.8614912033081055,0.8677636981010437,0.8656758666038513,0.8661202192306519,0.8608658313751221,0.8645447492599487,0.8672857284545898,0.867241621017456,0.8632797598838806,0.8632897734642029,0.86924147605896,0.8687514662742615,0.8671301007270813,0.8643474578857422,0.8611118197441101,0.8637307286262512,0.8677614331245422,0.8677538633346558,0.8631419539451599,0.8620380163192749,0.8600272536277771,0.8653318285942078,0.8641571402549744,0.8648163080215454,0.8638665676116943,0.8625008463859558,0.866654634475708,0.8649501204490662,0.8633884191513062,0.8663365244865417,0.8649584650993347,0.8612795472145081,0.8637129664421082,0.8670900464057922,0.8610973954200745,0.8610261678695679,0.8699791431427002,0.8621824979782104,0.8639951348304749,0.866938054561615,0.8643876314163208,0.8632075786590576,0.8642989993095398,0.8647714257240295,0.8630499839782715,0.8606443405151367,0.8620365858078003,0.8694689869880676,0.8575713634490967,0.8583885431289673,0.8630653023719788,0.858604907989502,0.861873984336853,0.8625171184539795,0.8674803376197815,0.8659743666648865,0.8612595200538635,0.8655702471733093,0.8636855483055115,0.8638888597488403,0.8651161193847656,0.8660500049591064,0.8722418546676636,0.8641207814216614,0.8614359498023987,0.8649041652679443,0.8645861148834229,0.8648535013198853,0.8622816205024719,0.8631333112716675,0.863815426826477,0.8673213124275208,0.8649212121963501,0.8656684756278992,0.8656952977180481,0.8649101257324219,0.8619976043701172,0.8645275235176086,0.8620240688323975,0.8616513013839722,0.8644931316375732,0.862989068031311,0.8620948195457458,0.8674188256263733,0.8646005988121033,0.8614529371261597,0.8683347105979919,0.8646169304847717,0.8607949614524841,0.8652828931808472,0.8666966557502747,0.8661950826644897,0.863287091255188,0.8662280440330505,0.8626536130905151
30,4.1221304,0.8662227392196655,0.8681339621543884,0.8659074902534485,0.8673237562179565,0.8705244660377502,0.8701339364051819,0.8688752055168152,0.8690035343170166,0.8683552742004395,0.8675388097763062,0.8725035190582275,0.869763970375061,0.8716285824775696,0.8691210746765137,0.8704957962036133,0.8659389019012451,0.8690615892410278,0.8662486672401428,0.8714317083358765,0.8696438670158386,0.8702306151390076,0.872113823890686,0.8728870153427124,0.8721212148666382,0.8656710386276245,0.8672289848327637,0.8710755705833435,0.866158664226532,0.8691253066062927,0.8719701766967773,0.8691759705543518,0.8692373633384705,0.8680087327957153,0.8660452961921692,0.8713153004646301,0.8673846125602722,0.8700278401374817,0.869929850101471,0.8716697096824646,0.8691391348838806,0.8720188140869141,0.8691209554672241,0.8743072152137756,0.8677315711975098,0.8722211122512817,0.8658546209335327,0.8726389408111572,0.8704119920730591,0.8692923784255981,0.8699085712432861,0.871937096118927,0.8694191575050354,0.8690296411514282,0.8694722056388855,0.8710911273956299,0.8695554137229919,0.8718466758728027,0.8715784549713135,0.8713468909263611,0.8678521513938904,0.8661250472068787,0.8717026710510254,0.8668810725212097,0.8649306893348694,0.8671202659606934,0.8690328598022461,0.8683274388313293,0.871688961982727,0.8701122403144836,0.8657515048980713,0.8666397929191589,0.8671630620956421,0.8685691952705383,0.8733301162719727,0.8725559115409851,0.8670123219490051,0.8671720027923584,0.8694173097610474,0.8694021105766296,0.8689032196998596,0.868426501750946,0.8700949549674988,0.8704801201820374,0.867168128490448,0.8706969618797302,0.8729756474494934,0.8697606325149536,0.8710444569587708,0.8668868541717529,0.8686449527740479,0.8654472231864929,0.8655786514282227,0.8655079007148743,0.8742071390151978,0.8674649596214294,0.8719620704650879,0.8680782318115234,0.8666159510612488,0.8705626130104065,0.8694789409637451
