,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49,repeat50,repeat51,repeat52,repeat53,repeat54,repeat55,repeat56,repeat57,repeat58,repeat59,repeat60,repeat61,repeat62,repeat63,repeat64,repeat65,repeat66,repeat67,repeat68,repeat69,repeat70,repeat71,repeat72,repeat73,repeat74,repeat75,repeat76,repeat77,repeat78,repeat79,repeat80,repeat81,repeat82,repeat83,repeat84,repeat85,repeat86,repeat87,repeat88,repeat89,repeat90,repeat91,repeat92,repeat93,repeat94,repeat95,repeat96,repeat97,repeat98,repeat99
0,2.0,0.003,0.2247600257396698,0.27098947763442993,0.21185654401779175,0.23965419828891754,0.21802149713039398,0.22307419776916504,0.2516332268714905,0.23116062581539154,0.08741897344589233,0.12485981732606888,0.2869168221950531,0.21028104424476624,0.19439391791820526,0.19521832466125488,0.24392254650592804,0.08083780109882355,0.11085761338472366,0.258022278547287,0.16207639873027802,0.1102127730846405,0.29331424832344055,0.1609133929014206,0.20783396065235138,0.24326255917549133,0.08011974394321442,0.12524935603141785,0.26673123240470886,0.19471073150634766,0.30976602435112,0.09753536432981491,0.16218996047973633,0.15943780541419983,0.11735222488641739,0.09198921918869019,0.21550899744033813,0.19339905679225922,0.13356052339076996,0.14647281169891357,0.08661632984876633,0.28338801860809326,0.2515146732330322,0.15039832890033722,0.2760072350502014,0.21416924893856049,0.12498042732477188,0.16537794470787048,0.08296697586774826,0.22497405111789703,0.169540673494339,0.11518562585115433,0.26310792565345764,0.2548709809780121,0.12363528460264206,0.1623138189315796,0.2608065605163574,0.13482145965099335,0.04773969203233719,0.3741202652454376,0.2197575718164444,0.12075820565223694,0.23843035101890564,0.14763952791690826,0.1112799271941185,0.08819524943828583,0.15291933715343475,0.27646157145500183,0.1815991848707199,0.15432222187519073,0.09749142825603485,0.2446107715368271,0.12290877103805542,0.251112163066864,0.08186351507902145,0.11410415917634964,0.10334945470094681,0.06431501358747482,0.2611926794052124,0.13361133635044098,0.14898672699928284,0.24585562944412231,0.1552588939666748,0.15838934481143951,0.06920549273490906,0.13555309176445007,0.255715012550354,0.206811785697937,0.2040434628725052,0.12182527035474777,0.19155709445476532,0.1137893870472908,0.2687801420688629,0.1650424301624298,0.2380058914422989,0.14914080500602722,0.16105693578720093,0.07212086021900177,0.08975282311439514,0.11601287126541138,0.2887720465660095,0.12988373637199402
1,2.2,0.003,0.417967289686203,0.37091803550720215,0.24615789949893951,0.30267325043678284,0.3322688639163971,0.34181687235832214,0.35819822549819946,0.36815619468688965,0.29501622915267944,0.35998204350471497,0.22541789710521698,0.30885133147239685,0.3274724781513214,0.26349756121635437,0.25337016582489014,0.3875412046909332,0.29544597864151,0.30235815048217773,0.2754870057106018,0.3590075671672821,0.3815007507801056,0.33118966221809387,0.3996732831001282,0.26639872789382935,0.3365839123725891,0.32614976167678833,0.42775586247444153,0.3309037685394287,0.3127540051937103,0.23352062702178955,0.39294907450675964,0.40836167335510254,0.3109274208545685,0.38449782133102417,0.2607431709766388,0.32574662566185,0.2525707483291626,0.28138697147369385,0.3007888197898865,0.37266725301742554,0.29677075147628784,0.30374473333358765,0.39999163150787354,0.3873932361602783,0.4044964015483856,0.3555237650871277,0.32784581184387207,0.4166463613510132,0.3549186587333679,0.1308717578649521,0.38526490330696106,0.33638522028923035,0.13473643362522125,0.40439942479133606,0.42200911045074463,0.2155928611755371,0.3441336154937744,0.37261223793029785,0.3168070316314697,0.31867271661758423,0.31885457038879395,0.31819090247154236,0.3814321458339691,0.3834220767021179,0.32816261053085327,0.39545950293540955,0.2825705409049988,0.38076865673065186,0.37915027141571045,0.15524235367774963,0.2762150168418884,0.3950938284397125,0.14009641110897064,0.3789389133453369,0.33576372265815735,0.3650985062122345,0.38506370782852173,0.35680967569351196,0.35748112201690674,0.3543345630168915,0.35783448815345764,0.3838341534137726,0.27669385075569153,0.3717615604400635,0.030021879822015762,0.35530102252960205,0.36614057421684265,0.3855270743370056,0.3160006105899811,0.30610302090644836,0.08642156422138214,0.33496180176734924,0.3977794647216797,0.3603232502937317,0.3222818374633789,0.41774797439575195,0.3429114520549774,0.3300802707672119,0.3977039158344269,0.18655821681022644
2,2.4,0.003,0.42290404438972473,0.5153108239173889,0.5305771231651306,0.42559754848480225,0.5353925824165344,0.4732849597930908,0.4840730130672455,0.5280195474624634,0.3953382074832916,0.5138821005821228,0.5296182632446289,0.5160825848579407,0.4877186715602875,0.5428981781005859,0.5623196363449097,0.552363395690918,0.5018556714057922,0.5433761477470398,0.526037871837616,0.5204081535339355,0.4863400161266327,0.4649863541126251,0.5024423003196716,0.5398688912391663,0.5472107529640198,0.5089157819747925,0.5367127060890198,0.5306084156036377,0.4866112470626831,0.5417290925979614,0.5085271596908569,0.47103697061538696,0.5393601655960083,0.5213829278945923,0.5480911731719971,0.5388033390045166,0.4495636522769928,0.5178762674331665,0.548138439655304,0.5347854495048523,0.4709588289260864,0.5523694753646851,0.5184699892997742,0.5347546339035034,0.5230414271354675,0.5610454082489014,0.526271402835846,0.5358986854553223,0.5001707077026367,0.5186160206794739,0.5474889874458313,0.516322910785675,0.43233415484428406,0.5201612710952759,0.5280991792678833,0.5227440595626831,0.5209797024726868,0.5133883953094482,0.5722857117652893,0.4810948371887207,0.42424145340919495,0.5593412518501282,0.5124823451042175,0.5244827270507812,0.482748806476593,0.5463292598724365,0.44085070490837097,0.5093651413917542,0.4658384621143341,0.3916659951210022,0.5378414392471313,0.45819053053855896,0.5264460444450378,0.48324307799339294,0.46394485235214233,0.478223592042923,0.5072581768035889,0.5362985134124756,0.539344072341919,0.4855893552303314,0.4928865134716034,0.4049767851829529,0.4429551362991333,0.5121814608573914,0.4815850257873535,0.40873849391937256,0.5527743101119995,0.5451146364212036,0.5577537417411804,0.55797278881073,0.49993982911109924,0.43545159697532654,0.534422755241394,0.5159227252006531,0.47783973813056946,0.560370683670044,0.5086439251899719,0.5070260167121887,0.34546828269958496,0.5465465784072876
3,2.6,0.003,0.6225589513778687,0.7018924951553345,0.6416367292404175,0.6174137592315674,0.6418557167053223,0.6732907295227051,0.7255799770355225,0.6522155404090881,0.7028178572654724,0.683157742023468,0.6890853047370911,0.6805036067962646,0.6737062931060791,0.66034334897995,0.6412215232849121,0.6678429841995239,0.6248165369033813,0.6391466856002808,0.6119632124900818,0.6847848296165466,0.610852062702179,0.626697301864624,0.6467626094818115,0.6787109375,0.6752926707267761,0.6393534541130066,0.586045503616333,0.6612589955329895,0.5823628902435303,0.655752956867218,0.6536180973052979,0.6296972632408142,0.6086223721504211,0.6619921326637268,0.6161589622497559,0.676340639591217,0.6894862055778503,0.6124737858772278,0.6769960522651672,0.6514791250228882,0.6358520984649658,0.5877125263214111,0.6045456528663635,0.5596024990081787,0.694719672203064,0.6403061151504517,0.6238133907318115,0.6530954837799072,0.6069178581237793,0.6254627108573914,0.6888325214385986,0.6652407646179199,0.6634325385093689,0.6808302402496338,0.6053037643432617,0.6394855380058289,0.6245527863502502,0.6780788898468018,0.6524048447608948,0.6760843992233276,0.6414769291877747,0.625450074672699,0.6687173843383789,0.6571308374404907,0.6063552498817444,0.6700080633163452,0.7032061219215393,0.657385528087616,0.6232496500015259,0.6177040934562683,0.6427602171897888,0.7011051774024963,0.6426838040351868,0.7044246792793274,0.6375231742858887,0.6423267722129822,0.6439202427864075,0.7196094989776611,0.6465224623680115,0.6895312070846558,0.6584024429321289,0.6638168692588806,0.6667134761810303,0.6741913557052612,0.6347405910491943,0.658271849155426,0.6555368304252625,0.6158307194709778,0.6660645008087158,0.6164980530738831,0.6223117113113403,0.6564033031463623,0.632241427898407,0.6309774518013,0.677599310874939,0.6670199632644653,0.6620525121688843,0.6323149800300598,0.6123331189155579,0.6568374037742615
4,2.8,0.003,0.7909826040267944,0.7895591855049133,0.7998523116111755,0.7820332646369934,0.7428321838378906,0.7797209620475769,0.7541114687919617,0.7711170315742493,0.7951763272285461,0.7775535583496094,0.7847424745559692,0.8080533146858215,0.7926267385482788,0.7540796995162964,0.8195768594741821,0.7792496085166931,0.8187508583068848,0.7657753229141235,0.8002001643180847,0.746847927570343,0.8374629616737366,0.8032750487327576,0.7862259149551392,0.7993763089179993,0.8268068432807922,0.8463281393051147,0.8133925795555115,0.7495564222335815,0.8067107200622559,0.814830482006073,0.7861248850822449,0.8110954761505127,0.7951052188873291,0.8387802839279175,0.7848077416419983,0.7697561383247375,0.7578833103179932,0.7879707217216492,0.8047030568122864,0.8123301863670349,0.7461177706718445,0.7676274180412292,0.7927015423774719,0.778714120388031,0.8104826807975769,0.7778274416923523,0.8237848281860352,0.760800838470459,0.765895426273346,0.7953459620475769,0.7813994884490967,0.7574353814125061,0.7732905149459839,0.7560861110687256,0.7449451684951782,0.7319356203079224,0.8386692404747009,0.8144217133522034,0.7890300750732422,0.8285087943077087,0.7680355906486511,0.794611930847168,0.7987751364707947,0.7731001377105713,0.8190253376960754,0.7953601479530334,0.7869147658348083,0.8065102696418762,0.8097484707832336,0.8032829165458679,0.7466915845870972,0.7468265891075134,0.7337539196014404,0.8280798196792603,0.7757766842842102,0.8015196919441223,0.8077677488327026,0.8204423189163208,0.8025089502334595,0.7631953954696655,0.8326743841171265,0.7792106866836548,0.7873116135597229,0.8299261331558228,0.804503321647644,0.7539729475975037,0.7860440611839294,0.799797773361206,0.8022499680519104,0.8191875219345093,0.77640700340271,0.7636331915855408,0.8128265738487244,0.7869152426719666,0.8045412302017212,0.7754120826721191,0.7741726040840149,0.8316578269004822,0.7755900025367737,0.8182677626609802
5,3.0,0.003,0.9802185893058777,0.9802961349487305,0.9372205138206482,0.9584521055221558,0.9258633852005005,0.9755114316940308,0.9647597670555115,0.9509173631668091,0.9817361235618591,0.9378989338874817,0.9436790347099304,0.9836574196815491,0.9787933826446533,0.9589770436286926,0.9481127262115479,0.9103235602378845,0.9265103936195374,0.9390014410018921,0.9375012516975403,0.943683922290802,0.9628618359565735,0.9251517653465271,0.9405823349952698,0.9455605149269104,0.9477740526199341,0.9278684854507446,0.9537145495414734,0.9347979426383972,0.916633129119873,0.8958909511566162,0.9722910523414612,0.9497771859169006,0.9527845978736877,0.9656206965446472,0.9442337155342102,0.9702160358428955,0.9464077353477478,0.9481531381607056,0.9569270610809326,0.9256874322891235,0.9498269557952881,0.9618892073631287,0.9690454602241516,0.9675392508506775,0.9440073370933533,0.9330250024795532,0.9502722024917603,0.9702945947647095,0.9578383564949036,0.9728857278823853,0.974835216999054,0.9522460699081421,0.9386962056159973,0.9899375438690186,0.8755212426185608,0.9402597546577454,0.9902217984199524,0.9691985845565796,0.9502335786819458,0.9351327419281006,0.970535933971405,0.981114387512207,0.9678943157196045,0.9700282216072083,0.9571815133094788,0.8797500133514404,0.9472758769989014,0.979537308216095,0.9802764654159546,0.9371657371520996,0.961946964263916,0.9483792185783386,0.9242885708808899,0.9624133706092834,0.9416728615760803,0.9653431177139282,0.9329375624656677,0.9019457101821899,0.9401670098304749,0.9646785855293274,0.9778611063957214,0.9502013921737671,0.9577809572219849,0.9668933153152466,0.928337574005127,0.9487666487693787,0.9603510499000549,0.9416941404342651,0.9621077179908752,0.9563039541244507,0.9565826654434204,0.9418846368789673,0.977804958820343,0.9657787084579468,0.9655584692955017,0.967918336391449,0.9195634126663208,0.9609960913658142,0.9644496440887451,0.9635615944862366
6,3.2,0.003,0.9992419481277466,0.9993516802787781,0.999335527420044,0.9991642236709595,0.999359130859375,0.9993207454681396,0.9993227124214172,0.9993594884872437,0.9991362690925598,0.9993505477905273,0.9989848732948303,0.9993584752082825,0.9993369579315186,0.999318540096283,0.9989665746688843,0.9993389248847961,0.9991819262504578,0.9993646740913391,0.9993535876274109,0.999089241027832,0.9989012479782104,0.9991618990898132,0.9993325471878052,0.9993495345115662,0.9990874528884888,0.9993674755096436,0.9983828663825989,0.999388575553894,0.9993370771408081,0.9993765950202942,0.9993230700492859,0.9993351697921753,0.9993176460266113,0.999370813369751,0.999236524105072,0.9993410110473633,0.9993840456008911,0.999015748500824,0.9993511438369751,0.9993500709533691,0.9993126392364502,0.9993574023246765,0.9992884397506714,0.9993618130683899,0.9993106126785278,0.9991177916526794,0.9992200136184692,0.9993130564689636,0.9993608593940735,0.9993531107902527,0.9975128769874573,0.9993662238121033,0.9992296695709229,0.9991586208343506,0.9992936849594116,0.9993383288383484,0.9990790486335754,0.9992988705635071,0.9989898204803467,0.9993375539779663,0.9994024038314819,0.999009370803833,0.9993136525154114,0.9990110993385315,0.9993026852607727,0.9993912577629089,0.9990780353546143,0.9993687272071838,0.9992532134056091,0.9993596076965332,0.9991847276687622,0.9992390871047974,0.9992963671684265,0.9991554021835327,0.9993574023246765,0.9993382096290588,0.9993669986724854,0.9993699789047241,0.9993126392364502,0.9993252158164978,0.9990200996398926,0.9992995262145996,0.9990627765655518,0.9993541836738586,0.9990922808647156,0.9993666410446167,0.9993592500686646,0.999217689037323,0.9993597865104675,0.9993485808372498,0.9992755055427551,0.9992812871932983,0.9993441700935364,0.9991413950920105,0.9992724657058716,0.9993385076522827,0.9993082880973816,0.9993762969970703,0.999374508857727,0.9991298913955688
7,3.4,0.003,0.9995664358139038,0.9995793700218201,0.9995807409286499,0.9995731711387634,0.9995989799499512,0.999557375907898,0.999569296836853,0.999594509601593,0.9995887875556946,0.9995529651641846,0.9995880126953125,0.9995909333229065,0.9995908141136169,0.9996141195297241,0.9995373487472534,0.9995710253715515,0.9995670914649963,0.999584436416626,0.9995680451393127,0.99957275390625,0.9995346665382385,0.9996271729469299,0.9995788931846619,0.9995720386505127,0.9996025562286377,0.9995712637901306,0.9995588660240173,0.9995748996734619,0.9995946288108826,0.9995743632316589,0.9995396137237549,0.9995757937431335,0.9995433688163757,0.9995871782302856,0.9995450973510742,0.9995689392089844,0.9995812177658081,0.9996019005775452,0.9995680451393127,0.9995716214179993,0.9995540976524353,0.99958336353302,0.9995769262313843,0.9995717406272888,0.9995455741882324,0.9995777606964111,0.9995617270469666,0.9995585680007935,0.999599814414978,0.9995697736740112,0.999576985836029,0.9995648264884949,0.9995959997177124,0.9995740652084351,0.9995883107185364,0.9995958805084229,0.9995813369750977,0.9995765089988708,0.9995810389518738,0.9995868802070618,0.9995757937431335,0.9995884299278259,0.999586820602417,0.9995982050895691,0.9995586276054382,0.9995673894882202,0.9995776414871216,0.9996038675308228,0.9995903968811035,0.9995489120483398,0.9995519518852234,0.9995530843734741,0.9995647668838501,0.9995840787887573,0.9995805025100708,0.9995960593223572,0.9995763897895813,0.9995447993278503,0.9996064901351929,0.9995803833007812,0.9995759129524231,0.9995671510696411,0.999596357345581,0.9995956420898438,0.9995549321174622,0.9995710253715515,0.9995716214179993,0.9995874762535095,0.9995962977409363,0.9995797872543335,0.9995661377906799,0.9995430111885071,0.9995655417442322,0.999571681022644,0.9995794892311096,0.9995542764663696,0.9995644688606262,0.9995853304862976,0.9995184540748596,0.999587893486023
8,3.6,0.003,0.9997066855430603,0.9997191429138184,0.9996947050094604,0.9997239708900452,0.9996938705444336,0.9996921420097351,0.9997024536132812,0.9997239708900452,0.9997274875640869,0.9996940493583679,0.9997103810310364,0.9997078776359558,0.9996972680091858,0.9997092485427856,0.9997178316116333,0.9997209906578064,0.9997288584709167,0.9997091293334961,0.9997077584266663,0.999669075012207,0.9996997714042664,0.9997082948684692,0.9997097253799438,0.9997010827064514,0.9997072815895081,0.9997039437294006,0.9997105002403259,0.9997125267982483,0.9996801614761353,0.9997051954269409,0.9997158050537109,0.9996955394744873,0.9997096657752991,0.9997317790985107,0.9997037053108215,0.9996918439865112,0.9997033476829529,0.9997246861457825,0.999722421169281,0.9997158646583557,0.9997121691703796,0.9997040033340454,0.9996979832649231,0.9996899962425232,0.9996906518936157,0.9997157454490662,0.9996987581253052,0.9997062087059021,0.9997127652168274,0.9997190833091736,0.9997091889381409,0.9997249245643616,0.9997055530548096,0.9997042417526245,0.9997113347053528,0.9996969699859619,0.9997164607048035,0.9997212290763855,0.9997051954269409,0.9997018575668335,0.999689519405365,0.9996968507766724,0.9997248649597168,0.9997178912162781,0.9997073411941528,0.9997101426124573,0.9997057318687439,0.9997082352638245,0.9997028708457947,0.9997247457504272,0.9996944665908813,0.9997097849845886,0.9997036457061768,0.9997258186340332,0.9997125864028931,0.9996948838233948,0.9997092485427856,0.9996922612190247,0.999695360660553,0.9997094869613647,0.9997013211250305,0.9997025728225708,0.9997289180755615,0.9997184872627258,0.9996894598007202,0.9997127652168274,0.9996976256370544,0.9997187852859497,0.9997094869613647,0.9996851086616516,0.9997072815895081,0.9997055530548096,0.9997187852859497,0.9997116923332214,0.9997028708457947,0.9996911883354187,0.9997027516365051,0.9996885061264038,0.9997003674507141,0.9996950030326843
9,3.8,0.003,0.9997808933258057,0.9997716546058655,0.9997804760932922,0.9997753500938416,0.9997750520706177,0.9997900128364563,0.9997879862785339,0.9997726082801819,0.9997828006744385,0.999774158000946,0.9997820854187012,0.9997801780700684,0.9997792840003967,0.9997855424880981,0.999785840511322,0.9997866153717041,0.999785840511322,0.9997881054878235,0.99977707862854,0.9997931122779846,0.9997873306274414,0.9997840523719788,0.9997920989990234,0.9997901916503906,0.9997791051864624,0.9997782111167908,0.9997825622558594,0.9997864961624146,0.9997956156730652,0.9997713565826416,0.9997971057891846,0.9997895359992981,0.9997930526733398,0.9997653365135193,0.9997712969779968,0.9997891783714294,0.9997861385345459,0.999785840511322,0.9997960329055786,0.9997768402099609,0.9997930526733398,0.9997925758361816,0.999796450138092,0.9997794032096863,0.999777615070343,0.9997809529304504,0.9997828006744385,0.9997900724411011,0.9997904300689697,0.99977707862854,0.9997662305831909,0.999779224395752,0.9997814893722534,0.9997846484184265,0.9997812509536743,0.999779462814331,0.9997891187667847,0.9997764825820923,0.9997793436050415,0.9997859001159668,0.9997890591621399,0.9997950196266174,0.9997923970222473,0.9997857809066772,0.9997878074645996,0.999787449836731,0.9997865557670593,0.9997848272323608,0.9997802376747131,0.9997805953025818,0.9997700452804565,0.9997888803482056,0.9997867941856384,0.9997676610946655,0.9997878670692444,0.9997891187667847,0.9997786283493042,0.999778687953949,0.9997797608375549,0.999788761138916,0.9997907876968384,0.9997878670692444,0.999783992767334,0.9997732043266296,0.9997793436050415,0.9997790455818176,0.9997878670692444,0.9997808933258057,0.9997854828834534,0.9997901320457458,0.999791145324707,0.9997913241386414,0.9997925758361816,0.999789297580719,0.9997797608375549,0.9997847676277161,0.9997914433479309,0.9997820854187012,0.9997878074645996,0.9997789859771729
