,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
45,5.3476562,0.7613588571548462,0.7610326409339905,0.7599627375602722,0.7615611553192139,0.7604756951332092,0.7604518532752991,0.7600902318954468,0.7610454559326172,0.7613877654075623,0.7605122923851013,0.76026451587677,0.761573076248169,0.7605442404747009,0.7599441409111023,0.7613774538040161,0.7602025866508484,0.7600890398025513,0.7610244750976562,0.7611897587776184,0.7617596983909607,0.7599506974220276,0.7606073021888733,0.7615857124328613,0.7605942487716675,0.7615610957145691,0.7603248953819275,0.7611696720123291,0.7614861726760864,0.7604333758354187,0.7612689733505249,0.7606987357139587,0.760744035243988,0.760253369808197,0.7606690526008606,0.7614614963531494,0.7605819702148438,0.7608737349510193,0.7611809372901917,0.760213315486908,0.761216402053833,0.7605583071708679,0.7605870962142944,0.7614606618881226,0.7603716850280762,0.7609650492668152,0.7604003548622131,0.7613155245780945,0.7605832815170288,0.7606982588768005,0.7606353759765625
46,5.493164,0.7599061727523804,0.7598931193351746,0.7595136761665344,0.7592216730117798,0.7591620087623596,0.7596858739852905,0.7598228454589844,0.7588329315185547,0.759393036365509,0.7593006491661072,0.7587953805923462,0.7592856884002686,0.7590141296386719,0.7596963047981262,0.7587583661079407,0.759939968585968,0.7586108446121216,0.760025680065155,0.758696436882019,0.7600706815719604,0.7584827542304993,0.760040283203125,0.7601265907287598,0.7596644759178162,0.7599812746047974,0.760057806968689,0.7587423920631409,0.7585666179656982,0.7584194540977478,0.7600889801979065,0.7595585584640503,0.7597313523292542,0.7587936520576477,0.7599164247512817,0.7600260972976685,0.7585574984550476,0.7584546804428101,0.7585985064506531,0.7600107192993164,0.7593305706977844,0.758552610874176,0.7595974802970886,0.7593749165534973,0.7595307230949402,0.7587497234344482,0.7594617009162903,0.7585685849189758,0.7593680620193481,0.7597134709358215,0.7595853209495544
47,5.640625,0.7586466670036316,0.7591227293014526,0.7597517371177673,0.7588781714439392,0.7586275339126587,0.7587589621543884,0.7585756778717041,0.7594056725502014,0.7586254477500916,0.7586216330528259,0.7586702108383179,0.7593762874603271,0.7586644887924194,0.7595455646514893,0.7587412595748901,0.7586438059806824,0.7598366141319275,0.7596373558044434,0.7591513395309448,0.7590079307556152,0.7585814595222473,0.7593320608139038,0.7588696479797363,0.7590124607086182,0.7587665915489197,0.758818507194519,0.7585359215736389,0.7589820623397827,0.7595084309577942,0.7595781683921814,0.7590117454528809,0.7585519552230835,0.7588707208633423,0.7587526440620422,0.759548008441925,0.7595335245132446,0.7591146230697632,0.75934237241745,0.759097695350647,0.7590781450271606,0.758963406085968,0.7597615718841553,0.7595280408859253,0.7585296034812927,0.7587955594062805,0.758754551410675,0.7586526870727539,0.7588167190551758,0.7590385675430298,0.7585614919662476
48,5.790039,0.7602841854095459,0.7601543664932251,0.7605953216552734,0.760863184928894,0.7600124478340149,0.760511577129364,0.7600451707839966,0.7601907253265381,0.7600353956222534,0.7607825398445129,0.7602160573005676,0.7603263258934021,0.760810136795044,0.7609323263168335,0.7605006098747253,0.7605542540550232,0.7607287168502808,0.7601993680000305,0.760148823261261,0.7601414322853088,0.760404109954834,0.7605465650558472,0.7603841423988342,0.7609153389930725,0.760898232460022,0.760778546333313,0.7608038783073425,0.7601449489593506,0.7605037689208984,0.7608683109283447,0.7609123587608337,0.7603372931480408,0.7601403594017029,0.7603350281715393,0.7603166699409485,0.760310709476471,0.7604816555976868,0.7609292268753052,0.760451078414917,0.7601591944694519,0.7608930468559265,0.76068514585495,0.760393500328064,0.7605277895927429,0.7600937485694885,0.7602982521057129,0.7602933049201965,0.7599696516990662,0.760357677936554,0.7605201005935669
49,5.9414062,0.7636126279830933,0.7638627290725708,0.7637959718704224,0.7633504271507263,0.763351559638977,0.763661801815033,0.7638611197471619,0.7634827494621277,0.7636070251464844,0.7639467120170593,0.7639390230178833,0.7636817693710327,0.7634738087654114,0.7634530067443848,0.7638846635818481,0.7637226581573486,0.7635881304740906,0.7636485695838928,0.763691782951355,0.7638856768608093,0.7633342146873474,0.7638099789619446,0.7637075185775757,0.7634484767913818,0.7633723020553589,0.7634186148643494,0.7639764547348022,0.763446033000946,0.7636736035346985,0.7639555335044861,0.7636815905570984,0.7637901902198792,0.7634533643722534,0.763848066329956,0.7634629011154175,0.7637766003608704,0.7639069557189941,0.7634754180908203,0.7633625268936157,0.7634104490280151,0.7635787129402161,0.7638603448867798,0.7635670900344849,0.7634432911872864,0.7633379697799683,0.763472855091095,0.7639597654342651,0.7638831734657288,0.7637680768966675,0.763972282409668
50,6.0947266,0.7660870552062988,0.7664350271224976,0.7660154104232788,0.7664282917976379,0.7663288116455078,0.7663310766220093,0.7664036154747009,0.7660207152366638,0.7662553191184998,0.7664408683776855,0.7660939693450928,0.7661213278770447,0.7660611271858215,0.7659657597541809,0.7663013339042664,0.76609206199646,0.7661073207855225,0.7662582993507385,0.7659801244735718,0.7662896513938904,0.7664280533790588,0.7662639021873474,0.7664527297019958,0.7663882970809937,0.7662701606750488,0.7659822702407837,0.7662987112998962,0.7660355567932129,0.766400158405304,0.7663182020187378,0.766453742980957,0.765958845615387,0.7659397125244141,0.766045331954956,0.7662762403488159,0.7664215564727783,0.7664501070976257,0.7664069533348083,0.7661323547363281,0.7663188576698303,0.7664541602134705,0.7660943269729614,0.7660605311393738,0.7664166688919067,0.7662856578826904,0.7659441828727722,0.766089916229248,0.7659507989883423,0.7661430835723877,0.7661856412887573
51,6.25,0.7696657180786133,0.7692449688911438,0.7696402072906494,0.7695707678794861,0.7693815231323242,0.7691832780838013,0.7695683836936951,0.7691358327865601,0.7692700028419495,0.7691564559936523,0.7693715691566467,0.7693930268287659,0.7692396640777588,0.7692240476608276,0.7695654630661011,0.7697190046310425,0.7692446708679199,0.7691471576690674,0.7694054841995239,0.7696470618247986,0.7691342830657959,0.7696279287338257,0.7693666219711304,0.7694455981254578,0.7691192626953125,0.7694440484046936,0.7695555090904236,0.7694990038871765,0.7695410847663879,0.7692601084709167,0.7691815495491028,0.7695643901824951,0.7692341208457947,0.769508421421051,0.7696391344070435,0.7696227431297302,0.7696431875228882,0.7693096399307251,0.7696636319160461,0.7695180773735046,0.7693126797676086,0.7692133188247681,0.7694859504699707,0.7692404389381409,0.7691552042961121,0.7696326971054077,0.7691617608070374,0.7694563269615173,0.7695267796516418,0.769302487373352
52,6.4072266,0.770192563533783,0.770054280757904,0.7698203921318054,0.7703014016151428,0.7699764370918274,0.7703836560249329,0.7702721953392029,0.7703118920326233,0.7701078057289124,0.770382285118103,0.769976019859314,0.7705795168876648,0.7700287103652954,0.7703201770782471,0.7701976299285889,0.7699659466743469,0.770334780216217,0.7703393697738647,0.7702019810676575,0.7705295085906982,0.770295262336731,0.7703708410263062,0.7701941728591919,0.7705917358398438,0.7703152298927307,0.7702383399009705,0.7697915434837341,0.7697579264640808,0.7699275016784668,0.7702016830444336,0.7701955437660217,0.7702292203903198,0.7703489065170288,0.769783079624176,0.7703149914741516,0.770386815071106,0.7704237103462219,0.7701947093009949,0.7702732086181641,0.769978404045105,0.7704159617424011,0.7705853581428528,0.769984245300293,0.7704192399978638,0.7697815299034119,0.7701994776725769,0.7701976299285889,0.7699188590049744,0.7699159979820251,0.7702668309211731
53,6.5664062,0.7696731686592102,0.7697134613990784,0.7696765065193176,0.7698787450790405,0.7692482471466064,0.7700687050819397,0.7698343396186829,0.7697266340255737,0.7694993019104004,0.7696472406387329,0.7696059942245483,0.7693576812744141,0.7699477672576904,0.7697516083717346,0.769790530204773,0.7693911790847778,0.7700823545455933,0.7696772813796997,0.7698229551315308,0.7698723077774048,0.7694143056869507,0.7692988514900208,0.7699253559112549,0.769964873790741,0.7696552276611328,0.7693703770637512,0.7697097063064575,0.7699795365333557,0.769689679145813,0.7700455784797668,0.7699715495109558,0.7696626782417297,0.7699036598205566,0.7698057293891907,0.7693477272987366,0.7697299122810364,0.769425630569458,0.7695697546005249,0.769312858581543,0.7697778344154358,0.7700610160827637,0.7697993516921997,0.7697764039039612,0.7692219018936157,0.7692867517471313,0.7701541781425476,0.7695757150650024,0.7700619697570801,0.76955246925354,0.7701479196548462
54,6.727539,0.770111083984375,0.7696965932846069,0.7691144943237305,0.7691757678985596,0.7698626518249512,0.769105851650238,0.769903302192688,0.7698860764503479,0.7690187692642212,0.7697869539260864,0.7695099115371704,0.7695525884628296,0.7695602178573608,0.7699543833732605,0.7695392370223999,0.7697827219963074,0.7699267864227295,0.7694799900054932,0.7692151069641113,0.7693108320236206,0.7692573070526123,0.7700569033622742,0.76932692527771,0.7697080969810486,0.7692826390266418,0.7696614861488342,0.7696435451507568,0.7692127227783203,0.7695021629333496,0.7697250247001648,0.769418478012085,0.7697702050209045,0.770066499710083,0.7698114514350891,0.7698832750320435,0.7694827914237976,0.7698465585708618,0.769603431224823,0.7692671418190002,0.7697398662567139,0.7691859602928162,0.7693316340446472,0.7692961692810059,0.7695342898368835,0.7698895335197449,0.7697014808654785,0.76909339427948,0.7698843479156494,0.7693480849266052,0.7695531249046326
