img_size_8,img_size_16,img_size_32,img_size_64,img_size_96,img_size_128,img_size_160,img_size_192,img_size_224,img_size_240,img_size_256,img_size_384,img_size_512,img_size_1024,img_size_2048,img_size_4096
0.0003952980041503906,0.0002911090850830078,0.0006191730499267578,0.0004661083221435547,0.0003476142883300781,0.0006401538848876953,0.0006153583526611328,0.00041222572326660156,0.0007321834564208984,0.0006816387176513672,0.0005538463592529297,0.00047326087951660156,0.0006809234619140625,0.0007221698760986328,0.0005221366882324219,0.0018057823181152344
0.00032520294189453125,0.00027942657470703125,0.0005826950073242188,0.0004093647003173828,0.00033092498779296875,0.0005807876586914062,0.0005793571472167969,0.0003809928894042969,0.000598907470703125,0.0006022453308105469,0.0004622936248779297,0.0003483295440673828,0.0006272792816162109,0.0005853176116943359,0.0005049705505371094,0.001683950424194336
0.0003120899200439453,0.0003006458282470703,0.0005960464477539062,0.00039458274841308594,0.0003249645233154297,0.0006041526794433594,0.0005812644958496094,0.0003764629364013672,0.0005812644958496094,0.0005776882171630859,0.0004780292510986328,0.0003600120544433594,0.0005853176116943359,0.0005247592926025391,0.0005075931549072266,0.0016944408416748047
0.00030994415283203125,0.0002734661102294922,0.0005693435668945312,0.00039839744567871094,0.00033211708068847656,0.0005750656127929688,0.0005943775177001953,0.00035381317138671875,0.0005736351013183594,0.0006175041198730469,0.00045299530029296875,0.0003237724304199219,0.0006320476531982422,0.0005419254302978516,0.0005249977111816406,0.0017056465148925781
0.000308990478515625,0.0002684593200683594,0.0005733966827392578,0.0004050731658935547,0.00032258033752441406,0.0005707740783691406,0.0005719661712646484,0.00038909912109375,0.0005252361297607422,0.0006108283996582031,0.000476837158203125,0.00038814544677734375,0.0005867481231689453,0.0005240440368652344,0.0005199909210205078,0.0017020702362060547
0.0003261566162109375,0.0002701282501220703,0.000568389892578125,0.0003941059112548828,0.00032067298889160156,0.0005791187286376953,0.0005700588226318359,0.0003516674041748047,0.0005230903625488281,0.0005953311920166016,0.0004596710205078125,0.000308990478515625,0.0006132125854492188,0.0005240440368652344,0.0005135536193847656,0.0017011165618896484
0.0003097057342529297,0.0002684593200683594,0.0005776882171630859,0.00039458274841308594,0.0003199577331542969,0.0005991458892822266,0.0005781650543212891,0.0003731250762939453,0.0005218982696533203,0.0005779266357421875,0.0004754066467285156,0.0003113746643066406,0.0005774497985839844,0.0005035400390625,0.0005035400390625,0.001722574234008789
0.00031256675720214844,0.00028061866760253906,0.0005769729614257812,0.00039458274841308594,0.0003185272216796875,0.0005853176116943359,0.0005681514739990234,0.00035309791564941406,0.0004813671112060547,0.0005757808685302734,0.0004534721374511719,0.0003628730773925781,0.0005602836608886719,0.0005030632019042969,0.0005152225494384766,0.0017037391662597656
0.0003077983856201172,0.00026798248291015625,0.0005679130554199219,0.0003917217254638672,0.00033211708068847656,0.0005261898040771484,0.0005612373352050781,0.0003733634948730469,0.0004801750183105469,0.0005757808685302734,0.0004763603210449219,0.00033593177795410156,0.0005295276641845703,0.000484466552734375,0.0005071163177490234,0.0016818046569824219
0.0003108978271484375,0.00026988983154296875,0.0005977153778076172,0.0003952980041503906,0.0003199577331542969,0.0005235671997070312,0.0005214214324951172,0.0003554821014404297,0.0005216598510742188,0.0005726814270019531,0.00045299530029296875,0.0003104209899902344,0.0005116462707519531,0.0005018711090087891,0.0005180835723876953,0.0017025470733642578
